"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2011",1,"Round 1",2014-03-24,"MCG","Carlton","Richmond",104,84
"2011",2,"Round 1",2014-03-25,"MCG","Geelong","St Kilda",48,47
"2011",3,"Round 1",2014-03-26,"Docklands Stadium","Collingwood","Port Adelaide",155,80
"2011",4,"Round 1",2014-03-26,"Football Park","Adelaide","Hawthorn",105,85
"2011",5,"Round 1",2014-03-26,"Gabba","Brisbane Lions","Fremantle",92,94
"2011",6,"Round 1",2014-03-27,"Docklands Stadium","Essendon","Western Bulldogs",113,58
"2011",7,"Round 1",2014-03-27,"MCG","Melbourne","Sydney",84,84
"2011",8,"Round 1",2014-03-27,"Subiaco Oval","West Coast","North Melbourne",92,88
"2011",9,"Round 2",2014-04-01,"MCG","St Kilda","Richmond",95,95
"2011",10,"Round 2",2014-04-02,"Docklands Stadium","North Melbourne","Collingwood",56,143
"2011",11,"Round 2",2014-04-02,"Football Park","Port Adelaide","West Coast",98,116
"2011",12,"Round 2",2014-04-02,"Gabba","Gold Coast","Carlton",52,171
"2011",13,"Round 2",2014-04-02,"Subiaco Oval","Fremantle","Geelong",78,89
"2011",14,"Round 2",2014-04-03,"Docklands Stadium","Western Bulldogs","Brisbane Lions",123,45
"2011",15,"Round 2",2014-04-03,"Stadium Australia","Sydney","Essendon",98,93
"2011",16,"Round 2",2014-04-03,"MCG","Hawthorn","Melbourne",122,77
"2011",17,"Round 3",2014-04-08,"MCG","Collingwood","Carlton",102,74
"2011",18,"Round 3",2014-04-09,"Docklands Stadium","Western Bulldogs","Gold Coast",122,51
"2011",19,"Round 3",2014-04-09,"Football Park","Adelaide","Fremantle",54,79
"2011",20,"Round 3",2014-04-09,"MCG","Richmond","Hawthorn",52,115
"2011",21,"Round 3",2014-04-09,"Subiaco Oval","West Coast","Sydney",88,101
"2011",22,"Round 3",2014-04-10,"MCG","Melbourne","Brisbane Lions",82,71
"2011",23,"Round 3",2014-04-10,"Kardinia Park","Geelong","Port Adelaide",122,43
"2011",24,"Round 3",2014-04-10,"Docklands Stadium","St Kilda","Essendon",84,136
"2011",25,"Round 4",2014-04-15,"MCG","Richmond","Collingwood",90,161
"2011",26,"Round 4",2014-04-16,"York Park","Hawthorn","West Coast",72,65
"2011",27,"Round 4",2014-04-16,"MCG","Carlton","Essendon",79,79
"2011",28,"Round 4",2014-04-16,"SCG","Sydney","Geelong",54,81
"2011",29,"Round 4",2014-04-16,"Football Park","Port Adelaide","Adelaide",98,66
"2011",30,"Round 4",2014-04-17,"Gabba","Gold Coast","Melbourne",69,159
"2011",31,"Round 4",2014-04-17,"Subiaco Oval","Fremantle","North Melbourne",127,98
"2011",32,"Round 5",2014-04-21,"Gabba","Brisbane Lions","St Kilda",76,89
"2011",33,"Round 5",2014-04-23,"Football Park","Port Adelaide","Gold Coast",101,104
"2011",34,"Round 5",2014-04-23,"Docklands Stadium","Carlton","Adelaide",85,79
"2011",35,"Round 5",2014-04-24,"Docklands Stadium","North Melbourne","Richmond",103,112
"2011",36,"Round 5",2014-04-25,"MCG","Essendon","Collingwood",77,107
"2011",37,"Round 5",2014-04-25,"Subiaco Oval","Fremantle","Western Bulldogs",85,78
"2011",38,"Round 5",2014-04-26,"MCG","Hawthorn","Geelong",98,117
"2011",39,"Round 6",2014-04-28,"Subiaco Oval","West Coast","Melbourne",106,52
"2011",40,"Round 6",2014-04-29,"SCG","Sydney","Carlton",71,87
"2011",41,"Round 6",2014-04-30,"Docklands Stadium","North Melbourne","Port Adelaide",133,73
"2011",42,"Round 6",2014-04-30,"MCG","Richmond","Brisbane Lions",124,98
"2011",43,"Round 6",2014-04-30,"Football Park","Adelaide","St Kilda",90,71
"2011",44,"Round 6",2014-05-01,"Docklands Stadium","Essendon","Gold Coast",197,58
"2011",45,"Round 6",2014-05-01,"MCG","Collingwood","Western Bulldogs",105,57
"2011",46,"Round 7",2014-05-06,"Football Park","Port Adelaide","Hawthorn",72,104
"2011",47,"Round 7",2014-05-07,"Manuka Oval","Western Bulldogs","Sydney",65,73
"2011",48,"Round 7",2014-05-07,"Kardinia Park","Geelong","North Melbourne",127,61
"2011",49,"Round 7",2014-05-07,"MCG","Richmond","Fremantle",148,99
"2011",50,"Round 7",2014-05-07,"Gabba","Gold Coast","Brisbane Lions",124,116
"2011",51,"Round 7",2014-05-08,"Docklands Stadium","Essendon","West Coast",106,90
"2011",52,"Round 7",2014-05-08,"MCG","Melbourne","Adelaide",149,53
"2011",53,"Round 7",2014-05-09,"Docklands Stadium","St Kilda","Carlton",81,84
"2011",54,"Round 8",2014-05-13,"MCG","Geelong","Collingwood",65,62
"2011",55,"Round 8",2014-05-14,"Docklands Stadium","North Melbourne","Melbourne",124,83
"2011",56,"Round 8",2014-05-14,"Football Park","Adelaide","Gold Coast",130,73
"2011",57,"Round 8",2014-05-14,"Gabba","Brisbane Lions","Essendon",66,102
"2011",58,"Round 8",2014-05-14,"SCG","Sydney","Port Adelaide",121,59
"2011",59,"Round 8",2014-05-15,"MCG","Hawthorn","St Kilda",99,69
"2011",60,"Round 8",2014-05-15,"Docklands Stadium","Western Bulldogs","Richmond",153,118
"2011",61,"Round 8",2014-05-15,"Subiaco Oval","West Coast","Fremantle",96,63
"2011",62,"Round 9",2014-05-20,"Docklands Stadium","Carlton","Geelong",100,102
"2011",63,"Round 9",2014-05-21,"Docklands Stadium","St Kilda","Melbourne",106,86
"2011",64,"Round 9",2014-05-21,"Football Park","Port Adelaide","Fremantle",90,142
"2011",65,"Round 9",2014-05-21,"Gabba","Brisbane Lions","North Melbourne",73,59
"2011",66,"Round 9",2014-05-21,"MCG","Richmond","Essendon",105,89
"2011",67,"Round 9",2014-05-22,"Docklands Stadium","Collingwood","Adelaide",135,92
"2011",68,"Round 9",2014-05-22,"SCG","Sydney","Hawthorn",60,106
"2011",69,"Round 9",2014-05-22,"Subiaco Oval","West Coast","Western Bulldogs",175,52
"2011",70,"Round 10",2014-05-27,"MCG","Melbourne","Carlton",46,93
"2011",71,"Round 10",2014-05-28,"Docklands Stadium","North Melbourne","Sydney",71,72
"2011",72,"Round 10",2014-05-28,"Subiaco Oval","Fremantle","St Kilda",56,102
"2011",73,"Round 10",2014-05-28,"Carrara Stadium","Gold Coast","Geelong",73,139
"2011",74,"Round 10",2014-05-28,"Marrara Oval","Richmond","Port Adelaide",74,89
"2011",75,"Round 10",2014-05-29,"Football Park","Adelaide","Brisbane Lions",61,101
"2011",76,"Round 10",2014-05-29,"MCG","Collingwood","West Coast",105,53
"2011",77,"Round 10",2014-05-29,"Docklands Stadium","Western Bulldogs","Hawthorn",62,91
"2011",78,"Round 11",2014-06-03,"MCG","Essendon","Melbourne",68,101
"2011",79,"Round 11",2014-06-04,"Subiaco Oval","West Coast","Gold Coast",85,67
"2011",80,"Round 11",2014-06-04,"Kardinia Park","Geelong","Western Bulldogs",148,87
"2011",81,"Round 11",2014-06-04,"MCG","Collingwood","St Kilda",108,51
"2011",82,"Round 11",2014-06-04,"Gabba","Brisbane Lions","Sydney",51,116
"2011",83,"Round 11",2014-06-05,"MCG","Hawthorn","Fremantle",111,89
"2011",84,"Round 11",2014-06-05,"Docklands Stadium","North Melbourne","Adelaide",115,68
"2011",85,"Round 11",2014-06-05,"Football Park","Port Adelaide","Carlton",49,111
