season,match_id,round,date,venue,home_team,away_team,home_score,away_score,home_goals,away_goals,home_behinds,away_behinds
2015,1,Round 1,2015-04-02,MCG,Carlton,Richmond,78,105,11,15,12,15
2015,2,Round 1,2015-04-04,MCG,Melbourne,Gold Coast,115,89,17,13,13,11
2015,3,Round 1,2015-04-04,Stadium Australia,Sydney,Essendon,72,60,10,9,12,6
2015,4,Round 1,2015-04-04,Gabba,Brisbane Lions,Collingwood,74,86,11,12,8,14
2015,5,Round 1,2015-04-04,Docklands Stadium,Western Bulldogs,West Coast,97,87,14,14,13,3
2015,6,Round 1,2015-04-05,Docklands Stadium,St Kilda,Greater Western Sydney,78,87,11,12,12,15
2015,7,Round 1,2015-04-05,Adelaide Oval,Adelaide,North Melbourne,140,63,21,9,14,9
2015,8,Round 1,2015-04-05,Subiaco Oval,Fremantle,Port Adelaide,75,68,11,10,9,8
2015,9,Round 1,2015-04-06,MCG,Hawthorn,Geelong,123,61,17,8,21,13
2015,10,Round 2,2015-04-10,Subiaco Oval,West Coast,Carlton,131,62,20,9,11,8
2015,11,Round 2,2015-04-11,MCG,Richmond,Western Bulldogs,66,85,9,12,12,13
2015,12,Round 2,2015-04-11,Manuka Oval,Greater Western Sydney,Melbourne,101,56,15,8,11,8
2015,13,Round 2,2015-04-11,Docklands Stadium,Collingwood,Adelaide,63,90,9,12,9,18
2015,14,Round 2,2015-04-11,Carrara Stadium,Gold Coast,St Kilda,76,104,10,16,16,8
2015,15,Round 2,2015-04-11,Adelaide Oval,Port Adelaide,Sydney,44,92,6,14,8,8
2015,16,Round 2,2015-04-12,Kardinia Park,Geelong,Fremantle,60,104,9,15,6,14
2015,17,Round 2,2015-04-12,MCG,Essendon,Hawthorn,78,76,12,11,6,10
2015,18,Round 2,2015-04-12,Docklands Stadium,North Melbourne,Brisbane Lions,133,51,20,7,13,9
2015,19,Round 3,2015-04-17,MCG,Collingwood,St Kilda,140,66,21,10,14,6
2015,20,Round 3,2015-04-18,MCG,Carlton,Essendon,84,105,11,16,18,9
2015,21,Round 3,2015-04-18,Adelaide Oval,Adelaide,Melbourne,80,55,12,7,8,13
2015,22,Round 3,2015-04-18,SCG,Sydney,Greater Western Sydney,111,90,16,12,15,18
2015,23,Round 3,2015-04-18,Docklands Stadium,North Melbourne,Port Adelaide,105,113,16,17,9,11
2015,24,Round 3,2015-04-18,Gabba,Brisbane Lions,Richmond,58,137,8,21,10,11
2015,25,Round 3,2015-04-19,York Park,Hawthorn,Western Bulldogs,127,57,19,8,13,9
2015,26,Round 3,2015-04-19,Kardinia Park,Geelong,Gold Coast,105,96,16,13,9,18
2015,27,Round 3,2015-04-19,Subiaco Oval,West Coast,Fremantle,81,111,12,17,9,9
2015,28,Round 4,2015-04-24,MCG,Richmond,Melbourne,51,83,6,12,15,11
