season,match_id,round,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2020,1,Round 1,2020-03-19,MCG,Richmond,Carlton,16,9,105,12,9,81
2020,2,Round 1,2020-03-20,Docklands Stadium,Western Bulldogs,Collingwood,5,4,34,13,8,86
2020,3,Round 1,2020-03-21,Docklands Stadium,Essendon,Fremantle,9,9,63,8,9,57
2020,4,Round 1,2020-03-21,Adelaide Oval,Adelaide,Sydney,11,5,71,11,8,74
2020,5,Round 1,2020-03-21,Carrara Stadium,Gold Coast,Port Adelaide,4,5,29,10,16,76
2020,6,Round 1,2020-03-21,Sydney Showground Stadium,Greater Western Sydney,Geelong,17,3,105,11,7,73
2020,7,Round 1,2020-03-22,Docklands Stadium,North Melbourne,St Kilda,8,8,56,7,12,54
2020,8,Round 1,2020-03-22,MCG,Hawthorn,Brisbane Lions,14,6,90,9,8,62
2020,9,Round 1,2020-03-22,Perth Stadium,West Coast,Melbourne,12,6,78,7,9,51
2020,10,Round 2,2020-06-11,MCG,Collingwood,Richmond,5,6,36,5,6,36
2020,11,Round 2,2020-06-12,Kardinia Park,Geelong,Hawthorn,17,6,108,7,5,47
2020,12,Round 2,2020-06-13,Gabba,Brisbane Lions,Fremantle,12,9,81,10,9,69
2020,13,Round 2,2020-06-13,Docklands Stadium,Carlton,Melbourne,7,11,53,8,6,54
2020,14,Round 2,2020-06-13,Adelaide Oval,Port Adelaide,Adelaide,17,8,110,5,5,35
2020,15,Round 2,2020-06-13,Carrara Stadium,Gold Coast,West Coast,14,6,90,6,10,46
2020,16,Round 2,2020-06-14,Sydney Showground Stadium,Greater Western Sydney,North Melbourne,8,12,60,12,8,80
2020,17,Round 2,2020-06-14,SCG,Sydney,Essendon,11,7,73,12,7,79
2020,18,Round 2,2020-06-14,Docklands Stadium,St Kilda,Western Bulldogs,14,4,88,7,7,49
2020,19,Round 3,2020-06-18,MCG,Richmond,Hawthorn,5,9,39,11,5,71
2020,20,Round 3,2020-06-19,Docklands Stadium,Western Bulldogs,Greater Western Sydney,8,9,57,4,9,33
2020,21,Round 3,2020-06-20,Docklands Stadium,North Melbourne,Sydney,8,12,60,10,11,71
2020,22,Round 3,2020-06-20,MCG,Collingwood,St Kilda,12,9,81,5,7,37
2020,23,Round 3,2020-06-20,Kardinia Park,Geelong,Carlton,11,11,77,12,7,79
2020,24,Round 3,2020-06-20,Gabba,Brisbane Lions,West Coast,10,14,74,6,8,44
2020,25,Round 3,2020-06-21,Carrara Stadium,Gold Coast,Adelaide,12,10,82,4,5,29
2020,26,Round 3,2020-06-21,Carrara Stadium,Fremantle,Port Adelaide,6,5,41,10,10,70
2020,27,Round 4,2020-06-25,SCG,Sydney,Western Bulldogs,5,9,39,10,7,67
2020,28,Round 4,2020-06-26,Sydney Showground Stadium,Greater Western Sydney,Collingwood,10,6,66,9,10,64
2020,29,Round 4,2020-06-27,Carrara Stadium,Port Adelaide,West Coast,13,11,89,6,5,41
2020,30,Round 4,2020-06-27,Docklands Stadium,St Kilda,Richmond,15,3,93,10,7,67
2020,31,Round 4,2020-06-27,Carrara Stadium,Gold Coast,Fremantle,10,4,64,8,3,51
2020,32,Round 4,2020-06-27,MCG,Essendon,Carlton,8,3,51,7,10,52
2020,33,Round 4,2020-06-28,Gabba,Brisbane Lions,Adelaide,10,23,83,7,4,46
2020,34,Round 4,2020-06-28,MCG,Melbourne,Geelong,6,8,44,7,5,47
2020,35,Round 4,2020-06-28,Docklands Stadium,Hawthorn,North Melbourne,8,10,58,8,6,54
2020,36,Round 5,2020-07-02,Docklands Stadium,Carlton,St Kilda,8,7,55,11,7,73
2020,37,Round 5,2020-07-03,MCG,Collingwood,Essendon,7,6,48,10,3,63
2020,38,Round 5,2020-07-04,Carrara Stadium,West Coast,Sydney,11,11,77,6,7,43
2020,39,Round 5,2020-07-04,Kardinia Park,Geelong,Gold Coast,13,11,89,8,4,52
2020,40,Round 5,2020-07-04,Gabba,Brisbane Lions,Port Adelaide,12,13,85,6,12,48
2020,41,Round 5,2020-07-04,Docklands Stadium,Western Bulldogs,North Melbourne,13,9,87,5,8,38
2020,42,Round 5,2020-07-05,Carrara Stadium,Adelaide,Fremantle,4,10,34,8,6,54
2020,43,Round 5,2020-07-05,MCG,Melbourne,Richmond,8,4,52,12,7,79
2020,44,Round 5,2020-07-05,Sydney Showground Stadium,Greater Western Sydney,Hawthorn,13,5,83,7,7,49
2020,45,Round 6,2020-07-09,SCG,Geelong,Brisbane Lions,11,7,73,6,10,46
2020,46,Round 6,2020-07-10,Sydney Showground Stadium,Collingwood,Hawthorn,8,11,59,3,9,27
2020,47,Round 6,2020-07-11,Carrara Stadium,Fremantle,St Kilda,12,7,79,11,7,73
2020,48,Round 6,2020-07-11,Gabba,West Coast,Adelaide,10,7,67,5,4,34
2020,49,Round 6,2020-07-11,Sydney Showground Stadium,Melbourne,Gold Coast,12,8,80,9,9,63
2020,50,Round 6,2020-07-11,Carrara Stadium,Essendon,North Melbourne,9,13,67,7,11,53
2020,51,Round 6,2020-07-12,Carrara Stadium,Port Adelaide,Greater Western Sydney,9,9,63,6,10,46
2020,52,Round 6,2020-07-12,Gabba,Richmond,Sydney,4,10,34,3,8,26
2020,53,Round 6,2020-07-12,Carrara Stadium,Carlton,Western Bulldogs,16,7,103,7,9,51
2020,54,Round 7,2020-07-16,Perth Stadium,Geelong,Collingwood,5,5,35,8,9,57
2020,55,Round 7,2020-07-17,Carrara Stadium,Essendon,Western Bulldogs,7,9,51,14,9,93
2020,56,Round 7,2020-07-18,Sydney Showground Stadium,Greater Western Sydney,Brisbane Lions,10,8,68,13,10,88
2020,57,Round 7,2020-07-18,SCG,Sydney,Gold Coast,9,6,60,13,14,92
2020,58,Round 7,2020-07-18,Carrara Stadium,Richmond,North Melbourne,11,11,77,2,11,23
2020,59,Round 7,2020-07-19,Gabba,Carlton,Port Adelaide,9,7,61,9,10,64
2020,60,Round 7,2020-07-19,Sydney Showground Stadium,Hawthorn,Melbourne,7,6,48,14,7,91
2020,61,Round 7,2020-07-19,Perth Stadium,Fremantle,West Coast,5,2,32,9,8,62
