season,match_id,round_number,round,round_name,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2024,1,0,Round 0,Opening Round,2024-03-07,SCG,Sydney,Melbourne,12,14,86,9,10,64
2024,2,0,Round 0,Opening Round,2024-03-08,Gabba,Brisbane,Carlton,12,13,85,13,8,86
2024,3,0,Round 0,Opening Round,2024-03-09,Carrara Stadium,Gold Coast,Richmond,14,15,99,9,6,60
2024,4,0,Round 0,Opening Round,2024-03-09,Sydney Showground Stadium,GWS,Collingwood,18,6,114,11,16,82
2024,5,1,Round 1,Round 1,2024-03-14,MCG,Carlton,Richmond,12,14,86,12,9,81
2024,6,1,Round 1,Round 1,2024-03-15,MCG,Collingwood,Sydney,10,9,69,15,12,102
2024,7,1,Round 1,Round 1,2024-03-16,MCG,Essendon,Hawthorn,17,5,107,11,17,83
2024,8,1,Round 1,Round 1,2024-03-16,Sydney Showground Stadium,GWS,North Melbourne,17,19,121,13,4,82
2024,9,1,Round 1,Round 1,2024-03-16,Kardinia Park,Geelong,St Kilda,10,16,76,9,14,68
2024,10,1,Round 1,Round 1,2024-03-16,Carrara Stadium,Gold Coast,Adelaide,8,12,60,8,6,54
2024,11,1,Round 1,Round 1,2024-03-17,MCG,Melbourne,Western Bulldogs,16,13,109,9,10,64
2024,12,1,Round 1,Round 1,2024-03-17,Adelaide Oval,Port Adelaide,West Coast,16,24,120,10,10,70
2024,13,1,Round 1,Round 1,2024-03-17,Perth Stadium,Fremantle,Brisbane,14,9,93,10,10,70
2024,14,2,Round 2,Round 2,2024-03-21,MCG,St Kilda,Collingwood,14,10,94,12,7,79
2024,15,2,Round 2,Round 2,2024-03-22,Adelaide Oval,Adelaide,Geelong,11,11,77,14,12,96
2024,16,2,Round 2,Round 2,2024-03-23,Docklands Stadium,North Melbourne,Fremantle,11,10,76,15,12,102
2024,17,2,Round 2,Round 2,2024-03-23,MCG,Hawthorn,Melbourne,5,8,38,14,9,93
2024,18,2,Round 2,Round 2,2024-03-23,SCG,Sydney,Essendon,19,17,131,15,11,101
