season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2026,1,0,Round 0,Opening Round,0,2026-03-05,SCG,Sydney,Carlton,20,12,132,10,9,69
2026,2,0,Round 0,Opening Round,0,2026-03-06,Carrara Stadium,Gold Coast,Geelong,19,11,125,10,9,69
2026,3,0,Round 0,Opening Round,0,2026-03-07,Sydney Showground Stadium,GWS,Hawthorn,19,8,122,14,11,95
2026,4,0,Round 0,Opening Round,0,2026-03-07,Gabba,Brisbane,Western Bulldogs,15,16,106,16,15,111
2026,5,0,Round 0,Opening Round,0,2026-03-08,MCG,St Kilda,Collingwood,9,12,66,11,12,78
2026,6,1,Round 1,Round 1,0,2026-03-12,MCG,Carlton,Richmond,10,15,75,9,17,71
2026,7,1,Round 1,Round 1,0,2026-03-13,MCG,Essendon,Hawthorn,13,5,83,21,19,145
2026,8,1,Round 1,Round 1,0,2026-03-14,Docklands Stadium,Western Bulldogs,GWS,21,8,134,7,11,53
2026,9,1,Round 1,Round 1,0,2026-03-14,Kardinia Park,Geelong,Fremantle,16,14,110,14,16,100
2026,10,1,Round 1,Round 1,0,2026-03-14,SCG,Sydney,Brisbane,15,14,104,8,12,60
2026,11,1,Round 1,Round 1,0,2026-03-14,MCG,Collingwood,Adelaide,11,13,79,13,15,93
2026,12,1,Round 1,Round 1,0,2026-03-15,Docklands Stadium,North Melbourne,Port Adelaide,17,11,113,9,13,67
2026,13,1,Round 1,Round 1,0,2026-03-15,MCG,Melbourne,St Kilda,18,12,120,15,17,107
2026,14,1,Round 1,Round 1,0,2026-03-15,Carrara Stadium,Gold Coast,West Coast,20,11,131,10,12,72
2026,15,2,Round 2,Round 2,0,2026-03-19,MCG,Hawthorn,Sydney,14,15,99,13,4,82
2026,16,2,Round 2,Round 2,0,2026-03-20,Adelaide Oval,Adelaide,Western Bulldogs,13,10,88,14,10,94
2026,17,2,Round 2,Round 2,0,2026-03-21,MCG,Richmond,Gold Coast,9,6,60,19,14,128
2026,18,2,Round 2,Round 2,0,2026-03-21,Sydney Showground Stadium,GWS,St Kilda,10,14,74,11,12,78
2026,19,2,Round 2,Round 2,0,2026-03-21,Perth Stadium,Fremantle,Melbourne,17,16,118,10,10,70
2026,20,2,Round 2,Round 2,0,2026-03-22,Adelaide Oval,Port Adelaide,Essendon,20,13,133,10,10,70
2026,21,2,Round 2,Round 2,0,2026-03-22,Perth Stadium,West Coast,North Melbourne,17,9,111,15,4,94
2026,22,3,Round 3,Round 3,0,2026-03-26,Kardinia Park,Geelong,Adelaide,9,14,68,9,6,60
2026,23,3,Round 3,Round 3,0,2026-03-27,Docklands Stadium,Collingwood,GWS,13,9,87,7,12,54
2026,24,3,Round 3,Round 3,0,2026-03-28,Docklands Stadium,St Kilda,Brisbane,11,14,80,17,11,113
2026,25,3,Round 3,Round 3,0,2026-03-28,Perth Stadium,Fremantle,Richmond,13,25,103,6,7,43
2026,26,3,Round 3,Round 3,0,2026-03-28,Docklands Stadium,Essendon,North Melbourne,9,15,69,12,9,81
2026,27,3,Round 3,Round 3,0,2026-03-29,Adelaide Oval,Port Adelaide,West Coast,13,12,90,13,14,92
2026,28,3,Round 3,Round 3,0,2026-03-29,MCG,Carlton,Melbourne,11,11,77,15,10,100
2026,29,4,Round 4,Round 4,0,2026-04-02,Gabba,Brisbane,Collingwood,17,17,119,10,5,65
2026,30,4,Round 4,Round 4,0,2026-04-03,Docklands Stadium,North Melbourne,Carlton,14,12,96,13,8,86
2026,31,4,Round 4,Round 4,0,2026-04-03,Adelaide Oval,Adelaide,Fremantle,11,10,76,11,12,78
2026,32,4,Round 4,Round 4,0,2026-04-04,MCG,Richmond,Port Adelaide,6,12,48,13,12,90
2026,33,4,Round 4,Round 4,0,2026-04-04,Perth Stadium,West Coast,Sydney,4,11,35,24,19,163
2026,34,4,Round 4,Round 4,0,2026-04-05,MCG,Melbourne,Gold Coast,16,13,109,14,5,89
2026,35,4,Round 4,Round 4,0,2026-04-05,Docklands Stadium,Western Bulldogs,Essendon,14,15,99,9,11,65
2026,36,4,Round 4,Round 4,0,2026-04-06,MCG,Hawthorn,Geelong,13,14,92,14,7,91
2026,37,5,Round 5,Round 5,0,2026-04-09,Adelaide Oval,Adelaide,Carlton,17,12,114,12,14,86
2026,38,5,Round 5,Round 5,0,2026-04-10,Adelaide Oval,Collingwood,Fremantle,5,9,39,7,3,45
2026,39,5,Round 5,Round 5,0,2026-04-11,Barossa Park,North Melbourne,Brisbane,9,12,66,13,14,92
2026,40,5,Round 5,Round 5,0,2026-04-11,Adelaide Oval,Essendon,Melbourne,17,11,113,10,8,68
2026,41,5,Round 5,Round 5,0,2026-04-11,Norwood Oval,Sydney,Gold Coast,14,16,100,9,14,68
2026,42,5,Round 5,Round 5,0,2026-04-11,Adelaide Oval,Hawthorn,Western Bulldogs,15,14,104,8,16,64
2026,43,5,Round 5,Round 5,0,2026-04-12,Norwood Oval,Geelong,West Coast,17,20,122,11,10,76
2026,44,5,Round 5,Round 5,0,2026-04-12,Barossa Park,GWS,Richmond,20,11,131,11,9,75
2026,45,5,Round 5,Round 5,0,2026-04-12,Adelaide Oval,Port Adelaide,St Kilda,9,13,67,12,9,81
2026,46,6,Round 6,Round 6,0,2026-04-16,MCG,Carlton,Collingwood,12,11,83,13,10,88
2026,47,6,Round 6,Round 6,0,2026-04-17,Kardinia Park,Geelong,Western Bulldogs,19,17,131,8,8,56
2026,48,6,Round 6,Round 6,0,2026-04-17,SCG,Sydney,GWS,17,5,107,8,18,66
2026,49,6,Round 6,Round 6,0,2026-04-18,Carrara Stadium,Gold Coast,Essendon,17,17,119,17,8,110
2026,50,6,Round 6,Round 6,0,2026-04-18,Docklands Stadium,Hawthorn,Port Adelaide,13,11,89,13,8,86
2026,51,6,Round 6,Round 6,0,2026-04-18,Adelaide Oval,Adelaide,St Kilda,15,13,103,15,12,102
2026,52,6,Round 6,Round 6,0,2026-04-19,Docklands Stadium,North Melbourne,Richmond,20,10,130,7,13,55
2026,53,6,Round 6,Round 6,0,2026-04-19,MCG,Melbourne,Brisbane,16,8,104,15,12,102
2026,54,6,Round 6,Round 6,0,2026-04-19,Perth Stadium,West Coast,Fremantle,5,11,41,14,13,97
2026,55,7,Round 7,Round 7,0,2026-04-23,Docklands Stadium,Western Bulldogs,Sydney,9,6,60,18,18,126
2026,56,7,Round 7,Round 7,0,2026-04-24,MCG,Richmond,Melbourne,11,6,72,19,12,126
2026,57,7,Round 7,Round 7,0,2026-04-25,York Park,Hawthorn,Gold Coast,16,16,112,9,9,63
2026,58,7,Round 7,Round 7,0,2026-04-25,MCG,Essendon,Collingwood,9,6,60,20,17,137
