season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
1990,1,1,Round 1,Round 1,0,1990-03-31,Princes Park,Carlton,Sydney,14,15,99,15,14,104
1990,2,1,Round 1,Round 1,0,1990-03-31,Windy Hill,Essendon,Fitzroy,20,21,141,8,12,60
1990,3,1,Round 1,Round 1,0,1990-03-31,Waverley Park,Geelong,Hawthorn,11,11,77,28,24,192
1990,4,1,Round 1,Round 1,0,1990-03-31,MCG,North Melbourne,Melbourne,12,17,89,22,10,142
1990,5,1,Round 1,Round 1,0,1990-03-31,Carrara Stadium,Brisbane,Richmond,19,19,133,10,14,74
1990,6,1,Round 1,Round 1,0,1990-04-01,Subiaco Oval,West Coast,Collingwood,14,16,100,8,6,54
1990,7,1,Round 1,Round 1,0,1990-04-01,Western Oval,Western Bulldogs,St Kilda,11,15,81,22,12,144
1990,8,2,Round 2,Round 2,0,1990-04-06,MCG,Richmond,North Melbourne,9,14,68,32,17,209
1990,9,2,Round 2,Round 2,0,1990-04-07,Waverley Park,Carlton,Collingwood,13,9,87,19,8,122
1990,10,2,Round 2,Round 2,0,1990-04-07,MCG,Melbourne,Geelong,18,20,128,13,13,91
1990,11,2,Round 2,Round 2,0,1990-04-07,Moorabbin Oval,St Kilda,West Coast,18,19,127,10,9,69
1990,12,2,Round 2,Round 2,0,1990-04-07,Princes Park,Fitzroy,Brisbane,13,20,98,8,11,59
1990,13,2,Round 2,Round 2,0,1990-04-08,MCG,Essendon,Hawthorn,24,15,159,14,13,97
1990,14,2,Round 2,Round 2,0,1990-04-08,SCG,Sydney,Western Bulldogs,10,18,78,20,20,140
1990,15,3,Round 3,Round 3,0,1990-04-14,Princes Park,Hawthorn,Richmond,15,21,111,10,21,81
1990,16,3,Round 3,Round 3,0,1990-04-14,Waverley Park,St Kilda,Carlton,11,10,76,14,8,92
1990,17,3,Round 3,Round 3,0,1990-04-14,Western Oval,Western Bulldogs,West Coast,7,17,59,18,14,122
1990,18,3,Round 3,Round 3,0,1990-04-15,Carrara Stadium,Brisbane,North Melbourne,14,11,95,17,11,113
1990,19,3,Round 3,Round 3,0,1990-04-16,Victoria Park,Collingwood,Sydney,20,8,128,12,21,93
1990,20,3,Round 3,Round 3,0,1990-04-16,Kardinia Park,Geelong,Fitzroy,22,18,150,11,11,77
1990,21,3,Round 3,Round 3,0,1990-04-16,MCG,Melbourne,Essendon,18,14,122,14,11,95
1990,22,4,Round 4,Round 4,0,1990-04-20,WACA,West Coast,Carlton,17,18,120,10,10,70
1990,23,4,Round 4,Round 4,0,1990-04-21,Victoria Park,Collingwood,Western Bulldogs,14,12,96,11,12,78
1990,24,4,Round 4,Round 4,0,1990-04-21,Princes Park,Hawthorn,Brisbane,18,12,120,5,8,38
1990,25,4,Round 4,Round 4,0,1990-04-21,MCG,Richmond,Essendon,6,13,49,18,19,127
1990,26,4,Round 4,Round 4,0,1990-04-21,Waverley Park,Fitzroy,Melbourne,9,10,64,13,11,89
1990,27,4,Round 4,Round 4,0,1990-04-22,MCG,North Melbourne,Geelong,15,22,112,20,23,143
1990,28,4,Round 4,Round 4,0,1990-04-22,SCG,Sydney,St Kilda,13,19,97,19,17,131
1990,29,5,Round 5,Round 5,0,1990-04-25,Princes Park,Carlton,Western Bulldogs,10,16,76,15,13,103
1990,30,5,Round 5,Round 5,0,1990-04-25,MCG,Richmond,Fitzroy,21,17,143,9,10,64
1990,31,5,Round 5,Round 5,0,1990-04-28,Waverley Park,Essendon,Geelong,11,15,81,12,17,89
1990,32,5,Round 5,Round 5,0,1990-04-28,Princes Park,Hawthorn,North Melbourne,16,12,108,10,18,78
1990,33,5,Round 5,Round 5,0,1990-04-28,MCG,St Kilda,Collingwood,13,13,91,12,20,92
1990,34,5,Round 5,Round 5,0,1990-04-28,Carrara Stadium,Brisbane,Melbourne,8,13,61,19,11,125
1990,35,5,Round 5,Round 5,0,1990-04-29,Subiaco Oval,West Coast,Sydney,19,14,128,10,7,67
1990,36,6,Round 6,Round 6,0,1990-05-04,MCG,Richmond,West Coast,9,14,68,15,13,103
1990,37,6,Round 6,Round 6,0,1990-05-05,Princes Park,Carlton,North Melbourne,20,13,133,14,19,103
1990,38,6,Round 6,Round 6,0,1990-05-05,MCG,Collingwood,Essendon,10,15,75,15,11,101
1990,39,6,Round 6,Round 6,0,1990-05-05,Kardinia Park,Geelong,Brisbane,23,13,151,12,8,80
1990,40,6,Round 6,Round 6,0,1990-05-05,Moorabbin Oval,St Kilda,Hawthorn,15,14,104,14,17,101
1990,41,6,Round 6,Round 6,0,1990-05-05,Waverley Park,Western Bulldogs,Fitzroy,12,10,82,5,20,50
1990,42,6,Round 6,Round 6,0,1990-05-06,SCG,Sydney,Melbourne,14,14,98,12,21,93
1990,43,7,Round 7,Round 7,0,1990-05-11,MCG,Melbourne,West Coast,18,8,116,9,7,61
1990,44,7,Round 7,Round 7,0,1990-05-12,Waverley Park,Collingwood,Hawthorn,13,14,92,13,16,94
1990,45,7,Round 7,Round 7,0,1990-05-12,Windy Hill,Essendon,Carlton,13,13,91,17,9,111
1990,46,7,Round 7,Round 7,0,1990-05-12,MCG,North Melbourne,Western Bulldogs,12,13,85,12,15,87
1990,47,7,Round 7,Round 7,0,1990-05-12,Princes Park,Fitzroy,St Kilda,18,13,121,15,13,103
1990,48,7,Round 7,Round 7,0,1990-05-13,Carrara Stadium,Brisbane,Sydney,14,12,96,13,10,88
1990,49,7,Round 7,Round 7,0,1990-05-13,Kardinia Park,Geelong,Richmond,9,28,82,13,18,96
1990,50,8,Round 8,Round 8,0,1990-05-18,SCG,Sydney,Geelong,15,17,107,13,20,98
1990,51,8,Round 8,Round 8,0,1990-05-19,Waverley Park,Carlton,Hawthorn,18,18,126,9,5,59
1990,52,8,Round 8,Round 8,0,1990-05-19,MCG,Melbourne,Richmond,20,13,133,11,14,80
1990,53,8,Round 8,Round 8,0,1990-05-19,Moorabbin Oval,St Kilda,North Melbourne,12,22,94,11,12,78
1990,54,8,Round 8,Round 8,0,1990-05-19,Princes Park,Fitzroy,Collingwood,9,21,75,17,18,120
1990,55,8,Round 8,Round 8,0,1990-05-20,Subiaco Oval,West Coast,Brisbane,16,26,122,9,9,63
1990,56,8,Round 8,Round 8,0,1990-05-20,Western Oval,Western Bulldogs,Essendon,11,12,78,14,13,97
1990,57,9,Round 9,Round 9,0,1990-05-26,Princes Park,Carlton,Fitzroy,18,15,123,11,16,82
1990,58,9,Round 9,Round 9,0,1990-05-26,Victoria Park,Collingwood,North Melbourne,26,20,176,14,12,96
1990,59,9,Round 9,Round 9,0,1990-05-26,Windy Hill,Essendon,St Kilda,18,16,124,17,11,113
1990,60,9,Round 9,Round 9,0,1990-05-26,Waverley Park,Hawthorn,Melbourne,14,8,92,7,6,48
1990,61,9,Round 9,Round 9,0,1990-05-26,Carrara Stadium,Brisbane,Western Bulldogs,8,8,56,19,11,125
1990,62,9,Round 9,Round 9,0,1990-05-27,MCG,Richmond,Sydney,20,19,139,9,6,60
1990,63,9,Round 9,Round 9,0,1990-05-27,Subiaco Oval,West Coast,Geelong,16,16,112,13,15,93
1990,64,10,Round 10,Round 10,0,1990-06-01,MCG,North Melbourne,West Coast,17,16,118,13,12,90
1990,65,10,Round 10,Round 10,0,1990-06-02,Waverley Park,Collingwood,Melbourne,16,14,110,9,4,58
1990,66,10,Round 10,Round 10,0,1990-06-02,MCG,Richmond,Carlton,15,18,108,13,7,85
1990,67,10,Round 10,Round 10,0,1990-06-02,Moorabbin Oval,St Kilda,Brisbane,21,22,148,10,11,71
1990,68,10,Round 10,Round 10,0,1990-06-02,Princes Park,Fitzroy,Hawthorn,15,13,103,13,11,89
1990,69,10,Round 10,Round 10,0,1990-06-03,Kardinia Park,Geelong,Western Bulldogs,14,12,96,13,16,94
1990,70,10,Round 10,Round 10,0,1990-06-03,SCG,Sydney,Essendon,11,8,74,25,14,164
1990,71,11,Round 11,Round 11,0,1990-06-09,Windy Hill,Essendon,West Coast,15,9,99,8,12,60
1990,72,11,Round 11,Round 11,0,1990-06-09,Princes Park,Hawthorn,Sydney,19,18,132,11,17,83
1990,73,11,Round 11,Round 11,0,1990-06-09,Waverley Park,St Kilda,Geelong,15,14,104,16,16,112
1990,74,11,Round 11,Round 11,0,1990-06-10,Carrara Stadium,Brisbane,Collingwood,10,13,73,15,17,107
1990,75,11,Round 11,Round 11,0,1990-06-11,MCG,Melbourne,Carlton,15,9,99,13,15,93
1990,76,11,Round 11,Round 11,0,1990-06-11,Western Oval,Western Bulldogs,Richmond,15,6,96,12,10,82
1990,77,11,Round 11,Round 11,0,1990-06-11,Princes Park,Fitzroy,North Melbourne,11,12,78,15,10,100
1990,78,12,Round 12,Round 12,0,1990-06-15,WACA,West Coast,Hawthorn,16,9,105,12,10,82
1990,79,12,Round 12,Round 12,0,1990-06-16,Princes Park,Carlton,Brisbane,24,14,158,11,23,89
1990,80,12,Round 12,Round 12,0,1990-06-16,Windy Hill,Essendon,North Melbourne,18,16,124,13,16,94
1990,81,12,Round 12,Round 12,0,1990-06-16,Waverley Park,Geelong,Collingwood,12,16,88,14,15,99
1990,82,12,Round 12,Round 12,0,1990-06-16,MCG,Richmond,St Kilda,18,20,128,16,12,108
1990,83,12,Round 12,Round 12,0,1990-06-17,SCG,Sydney,Fitzroy,10,11,71,17,14,116
1990,84,12,Round 12,Round 12,0,1990-06-17,Western Oval,Western Bulldogs,Melbourne,10,8,68,15,11,101
1990,85,13,Round 13,Round 13,0,1990-06-23,Princes Park,Carlton,Geelong,18,15,123,13,26,104
1990,86,13,Round 13,Round 13,0,1990-06-23,MCG,Melbourne,St Kilda,14,15,99,20,12,132
1990,87,13,Round 13,Round 13,0,1990-06-23,Carrara Stadium,Brisbane,Essendon,7,13,55,15,19,109
1990,88,13,Round 13,Round 13,0,1990-06-30,Victoria Park,Collingwood,Richmond,14,17,101,5,12,42
1990,89,13,Round 13,Round 13,0,1990-06-30,Waverley Park,Hawthorn,Western Bulldogs,10,13,73,14,7,91
1990,90,13,Round 13,Round 13,0,1990-06-30,MCG,North Melbourne,Sydney,18,23,131,5,11,41
1990,91,13,Round 13,Round 13,0,1990-07-01,Subiaco Oval,West Coast,Fitzroy,20,8,128,13,13,91
1990,92,14,Round 14,Round 14,0,1990-07-06,MCG,Richmond,Brisbane,22,21,153,10,11,71
1990,93,14,Round 14,Round 14,0,1990-07-07,Victoria Park,Collingwood,West Coast,15,12,102,11,10,76
1990,94,14,Round 14,Round 14,0,1990-07-07,Waverley Park,Hawthorn,Geelong,18,10,118,7,8,50
1990,95,14,Round 14,Round 14,0,1990-07-07,MCG,Melbourne,North Melbourne,10,13,73,31,14,200
1990,96,14,Round 14,Round 14,0,1990-07-07,Moorabbin Oval,St Kilda,Western Bulldogs,11,12,78,12,13,85
1990,97,14,Round 14,Round 14,0,1990-07-07,Princes Park,Fitzroy,Essendon,9,7,61,20,24,144
1990,98,14,Round 14,Round 14,0,1990-07-08,SCG,Sydney,Carlton,13,12,90,25,12,162
1990,99,15,Round 15,Round 15,0,1990-07-13,WACA,West Coast,St Kilda,16,12,108,14,6,90
1990,100,15,Round 15,Round 15,0,1990-07-14,Waverley Park,Collingwood,Carlton,17,11,113,8,11,59
1990,101,15,Round 15,Round 15,0,1990-07-14,Kardinia Park,Geelong,Melbourne,17,11,113,15,13,103
1990,102,15,Round 15,Round 15,0,1990-07-14,Princes Park,Hawthorn,Essendon,10,7,67,21,16,142
1990,103,15,Round 15,Round 15,0,1990-07-14,MCG,North Melbourne,Richmond,22,12,144,15,10,100
1990,104,15,Round 15,Round 15,0,1990-07-14,Western Oval,Western Bulldogs,Sydney,17,10,112,13,18,96
1990,105,15,Round 15,Round 15,0,1990-07-15,Carrara Stadium,Brisbane,Fitzroy,17,9,111,9,8,62
1990,106,16,Round 16,Round 16,0,1990-07-20,WACA,West Coast,Western Bulldogs,16,13,109,9,12,66
1990,107,16,Round 16,Round 16,0,1990-07-21,Princes Park,Carlton,St Kilda,19,9,123,15,18,108
1990,108,16,Round 16,Round 16,0,1990-07-21,Windy Hill,Essendon,Melbourne,15,16,106,17,12,114
1990,109,16,Round 16,Round 16,0,1990-07-21,MCG,Richmond,Hawthorn,10,8,68,25,9,159
1990,110,16,Round 16,Round 16,0,1990-07-21,Waverley Park,Fitzroy,Geelong,17,6,108,12,9,81
1990,111,16,Round 16,Round 16,0,1990-07-22,MCG,North Melbourne,Brisbane,13,12,90,7,12,54
1990,112,16,Round 16,Round 16,0,1990-07-22,SCG,Sydney,Collingwood,19,9,123,21,21,147
1990,113,17,Round 17,Round 17,0,1990-07-28,Princes Park,Carlton,West Coast,15,11,101,20,12,132
1990,114,17,Round 17,Round 17,0,1990-07-28,Waverley Park,Essendon,Richmond,18,17,125,6,10,46
1990,115,17,Round 17,Round 17,0,1990-07-28,Kardinia Park,Geelong,North Melbourne,17,8,110,20,11,131
1990,116,17,Round 17,Round 17,0,1990-07-28,MCG,Melbourne,Fitzroy,15,19,109,12,18,90
1990,117,17,Round 17,Round 17,0,1990-07-28,Moorabbin Oval,St Kilda,Sydney,22,16,148,10,13,73
1990,118,17,Round 17,Round 17,0,1990-07-29,Carrara Stadium,Brisbane,Hawthorn,14,11,95,16,14,110
1990,119,17,Round 17,Round 17,0,1990-07-29,MCG,Western Bulldogs,Collingwood,14,12,96,12,21,93
1990,120,18,Round 18,Round 18,0,1990-08-03,MCG,North Melbourne,Hawthorn,14,14,98,15,18,108
1990,121,18,Round 18,Round 18,0,1990-08-04,Victoria Park,Collingwood,St Kilda,16,21,117,7,7,49
1990,122,18,Round 18,Round 18,0,1990-08-04,Kardinia Park,Geelong,Essendon,14,8,92,13,16,94
1990,123,18,Round 18,Round 18,0,1990-08-04,Waverley Park,Melbourne,Brisbane,10,13,73,9,6,60
1990,124,18,Round 18,Round 18,0,1990-08-04,Princes Park,Fitzroy,Richmond,16,17,113,10,15,75
