season,match_id,round,date,venue,home_team,away_team,home_score,away_score,home_goals,away_goals,home_behinds,away_behinds
2018,1,Round 1,2018-03-22,MCG,Richmond,Carlton,121,95,17,15,19,5
2018,2,Round 1,2018-03-23,Docklands Stadium,Essendon,Adelaide,99,87,14,12,15,15
2018,3,Round 1,2018-03-24,Docklands Stadium,St Kilda,Brisbane Lions,107,82,16,12,11,10
2018,4,Round 1,2018-03-24,Adelaide Oval,Port Adelaide,Fremantle,110,60,16,9,14,6
2018,5,Round 1,2018-03-24,Cazaly's Stadium,Gold Coast,North Melbourne,55,39,7,5,13,9
2018,6,Round 1,2018-03-24,MCG,Hawthorn,Collingwood,101,67,15,9,11,13
2018,7,Round 1,2018-03-25,Manuka Oval,Greater Western Sydney,Western Bulldogs,133,51,20,7,13,9
2018,8,Round 1,2018-03-25,MCG,Melbourne,Geelong,94,97,13,14,16,13
2018,9,Round 1,2018-03-25,Perth Stadium,West Coast,Sydney,86,115,13,18,8,7
2018,10,Round 2,2018-03-29,Adelaide Oval,Adelaide,Richmond,118,82,18,12,10,10
2018,11,Round 2,2018-03-30,Docklands Stadium,North Melbourne,St Kilda,95,43,13,5,17,13
2018,12,Round 2,2018-03-31,Docklands Stadium,Carlton,Gold Coast,67,101,9,15,13,11
2018,13,Round 2,2018-03-31,MCG,Collingwood,Greater Western Sydney,79,95,12,15,7,5
2018,14,Round 2,2018-03-31,Gabba,Brisbane Lions,Melbourne,74,100,10,14,14,16
2018,15,Round 2,2018-03-31,Perth Stadium,Fremantle,Essendon,106,90,16,14,10,6
2018,16,Round 2,2018-04-01,Docklands Stadium,Western Bulldogs,West Coast,70,121,9,18,16,13
2018,17,Round 2,2018-04-01,SCG,Sydney,Port Adelaide,71,94,10,14,11,10
2018,18,Round 2,2018-04-02,MCG,Geelong,Hawthorn,117,118,18,17,9,16
2018,19,Round 3,2018-04-06,MCG,Carlton,Collingwood,76,100,11,16,10,4
2018,20,Round 3,2018-04-07,Adelaide Oval,Port Adelaide,Brisbane Lions,97,92,14,14,13,8
2018,21,Round 3,2018-04-07,MCG,Melbourne,North Melbourne,123,86,18,13,15,8
2018,22,Round 3,2018-04-07,Perth Stadium,Gold Coast,Fremantle,68,96,10,13,8,18
2018,23,Round 3,2018-04-07,SCG,Sydney,Greater Western Sydney,103,87,16,12,7,15
2018,24,Round 3,2018-04-07,Docklands Stadium,St Kilda,Adelaide,55,104,7,15,13,14
2018,25,Round 3,2018-04-08,MCG,Richmond,Hawthorn,102,89,15,13,12,11
2018,26,Round 3,2018-04-08,Docklands Stadium,Western Bulldogs,Essendon,104,83,14,12,20,11
2018,27,Round 3,2018-04-08,Perth Stadium,West Coast,Geelong,95,80,14,11,11,14
2018,28,Round 4,2018-04-13,Adelaide Oval,Adelaide,Collingwood,58,106,9,16,4,10
2018,29,Round 4,2018-04-14,Manuka Oval,Greater Western Sydney,Fremantle,82,51,11,7,16,9
2018,30,Round 4,2018-04-14,MCG,Richmond,Brisbane Lions,110,17,16,2,14,5
2018,31,Round 4,2018-04-14,Docklands Stadium,Western Bulldogs,Sydney,79,86,11,13,13,8
2018,32,Round 4,2018-04-14,Bellerive Oval,North Melbourne,Carlton,116,30,18,4,8,6
2018,33,Round 4,2018-04-14,Perth Stadium,West Coast,Gold Coast,139,59,21,9,13,5
2018,34,Round 4,2018-04-15,Docklands Stadium,Essendon,Port Adelaide,106,84,16,12,10,12
2018,35,Round 4,2018-04-15,MCG,Hawthorn,Melbourne,115,48,18,6,7,12
2018,36,Round 4,2018-04-15,Kardinia Park,Geelong,St Kilda,103,56,15,7,13,14
2018,37,Round 5,2018-04-20,SCG,Sydney,Adelaide,75,85,10,12,15,13
2018,38,Round 5,2018-04-21,Docklands Stadium,St Kilda,Greater Western Sydney,73,73,10,9,13,19
2018,39,Round 5,2018-04-21,MCG,Carlton,West Coast,69,79,10,10,9,19
2018,40,Round 5,2018-04-21,Adelaide Oval,Port Adelaide,Geelong,50,84,7,12,8,12
2018,41,Round 5,2018-04-21,Perth Stadium,Fremantle,Western Bulldogs,108,54,16,8,12,6
2018,42,Round 5,2018-04-22,Docklands Stadium,North Melbourne,Hawthorn,98,70,14,11,14,4
2018,43,Round 5,2018-04-22,Gabba,Brisbane Lions,Gold Coast,71,76,10,11,11,10
2018,44,Round 5,2018-04-24,MCG,Melbourne,Richmond,56,102,8,15,8,12
2018,45,Round 5,2018-04-25,MCG,Collingwood,Essendon,101,52,14,7,17,10
2018,46,Round 6,2018-04-27,Docklands Stadium,Western Bulldogs,Carlton,80,59,11,8,14,11
2018,47,Round 6,2018-04-28,Kardinia Park,Geelong,Sydney,69,86,10,12,9,14
2018,48,Round 6,2018-04-28,Docklands Stadium,North Melbourne,Port Adelaide,69,102,10,15,9,12
2018,49,Round 6,2018-04-28,Sydney Showground Stadium,Greater Western Sydney,Brisbane Lions,77,43,10,5,17,13
2018,50,Round 6,2018-04-28,York Park,Hawthorn,St Kilda,89,54,13,7,11,12
2018,51,Round 6,2018-04-28,Adelaide Oval,Adelaide,Gold Coast,110,62,16,9,14,8
2018,52,Round 6,2018-04-29,Docklands Stadium,Essendon,Melbourne,72,108,10,16,12,12
2018,53,Round 6,2018-04-29,MCG,Collingwood,Richmond,70,113,10,16,10,17
2018,54,Round 6,2018-04-29,Perth Stadium,Fremantle,West Coast,81,89,12,13,9,11
2018,55,Round 7,2018-05-04,Kardinia Park,Geelong,Greater Western Sydney,93,32,14,4,9,8
2018,56,Round 7,2018-05-05,Eureka Stadium,Western Bulldogs,Gold Coast,81,72,11,10,15,12
2018,57,Round 7,2018-05-05,MCG,Essendon,Hawthorn,67,90,10,13,7,12
2018,58,Round 7,2018-05-05,Perth Stadium,West Coast,Port Adelaide,102,60,16,9,6,6
2018,59,Round 7,2018-05-05,SCG,Sydney,North Melbourne,66,68,9,9,12,14
2018,60,Round 7,2018-05-05,Adelaide Oval,Adelaide,Carlton,125,70,19,10,11,10
2018,61,Round 7,2018-05-06,MCG,Richmond,Fremantle,110,33,15,4,20,9
2018,62,Round 7,2018-05-06,Docklands Stadium,St Kilda,Melbourne,67,106,9,16,13,10
2018,63,Round 7,2018-05-06,Gabba,Brisbane Lions,Collingwood,114,121,18,19,6,7
2018,64,Round 8,2018-05-11,MCG,Hawthorn,Sydney,71,79,10,12,11,7
2018,65,Round 8,2018-05-12,Sydney Showground Stadium,Greater Western Sydney,West Coast,61,86,8,12,13,14
2018,66,Round 8,2018-05-12,MCG,Carlton,Essendon,91,78,14,10,7,18
2018,67,Round 8,2018-05-12,Gabba,Gold Coast,Melbourne,77,146,11,21,11,20
2018,68,Round 8,2018-05-12,Adelaide Oval,Port Adelaide,Adelaide,95,90,14,14,11,6
2018,69,Round 8,2018-05-12,Docklands Stadium,Western Bulldogs,Brisbane Lions,107,93,16,14,11,9
2018,70,Round 8,2018-05-12,Perth Stadium,Fremantle,St Kilda,89,59,13,8,11,11
2018,71,Round 8,2018-05-13,Docklands Stadium,North Melbourne,Richmond,72,82,11,12,6,10
2018,72,Round 8,2018-05-13,MCG,Collingwood,Geelong,45,66,5,9,15,12
2018,73,Round 9,2018-05-18,Adelaide Oval,Adelaide,Western Bulldogs,63,26,9,2,9,14
2018,74,Round 9,2018-05-19,Bellerive Oval,North Melbourne,Greater Western Sydney,112,69,17,9,10,15
2018,75,Round 9,2018-05-19,Jiangwan Stadium,Gold Coast,Port Adelaide,42,82,6,11,6,16
2018,76,Round 9,2018-05-19,MCG,Essendon,Geelong,84,50,12,7,12,8
2018,77,Round 9,2018-05-19,SCG,Sydney,Fremantle,111,52,17,7,9,10
2018,78,Round 9,2018-05-19,Docklands Stadium,St Kilda,Collingwood,72,100,10,15,12,10
2018,79,Round 9,2018-05-20,MCG,Carlton,Melbourne,50,159,7,25,8,9
2018,80,Round 9,2018-05-20,Gabba,Brisbane Lions,Hawthorn,129,73,20,11,9,7
2018,81,Round 9,2018-05-20,Perth Stadium,West Coast,Richmond,130,83,20,12,10,11
2018,82,Round 10,2018-05-25,Docklands Stadium,Collingwood,Western Bulldogs,90,55,13,8,12,7
2018,83,Round 10,2018-05-26,MCG,Richmond,St Kilda,105,77,15,12,15,5
2018,84,Round 10,2018-05-26,Gabba,Brisbane Lions,Sydney,49,67,6,10,13,7
