season,match_id,round,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2021,1,Round 1,2021-03-18,MCG,Richmond,Carlton,15,15,105,11,14,80
2021,2,Round 1,2021-03-19,MCG,Collingwood,Western Bulldogs,7,11,53,10,9,69
2021,3,Round 1,2021-03-20,MCG,Melbourne,Fremantle,11,14,80,8,10,58
2021,4,Round 1,2021-03-20,Adelaide Oval,Adelaide,Geelong,15,13,103,13,13,91
2021,5,Round 1,2021-03-20,Gabba,Brisbane Lions,Sydney,14,10,94,19,11,125
2021,6,Round 1,2021-03-20,Docklands Stadium,Essendon,Hawthorn,13,13,91,14,8,92
2021,7,Round 1,2021-03-21,Docklands Stadium,North Melbourne,Port Adelaide,9,11,65,17,15,117
2021,8,Round 1,2021-03-21,Perth Stadium,West Coast,Gold Coast,12,11,83,8,10,58
2021,9,Round 1,2021-03-21,Sydney Showground Stadium,Greater Western Sydney,St Kilda,11,12,78,13,8,86
2021,10,Round 2,2021-03-25,MCG,Carlton,Collingwood,13,7,85,16,10,106
2021,11,Round 2,2021-03-26,Kardinia Park,Geelong,Brisbane Lions,12,9,81,11,14,80
2021,12,Round 2,2021-03-27,SCG,Sydney,Adelaide,18,13,121,11,22,88
2021,13,Round 2,2021-03-27,Adelaide Oval,Port Adelaide,Essendon,18,11,119,9,11,65
2021,14,Round 2,2021-03-27,Carrara Stadium,Gold Coast,North Melbourne,14,14,98,5,9,39
2021,15,Round 2,2021-03-27,Docklands Stadium,St Kilda,Melbourne,11,7,73,12,19,91
2021,16,Round 2,2021-03-28,MCG,Hawthorn,Richmond,7,7,49,11,12,78
2021,17,Round 2,2021-03-28,Perth Stadium,Fremantle,Greater Western Sydney,11,21,87,7,14,56
2021,18,Round 2,2021-03-28,Docklands Stadium,Western Bulldogs,West Coast,14,16,100,14,9,93
2021,19,Round 3,2021-04-01,Docklands Stadium,Collingwood,Brisbane Lions,11,6,72,11,7,73
2021,20,Round 3,2021-04-02,Docklands Stadium,North Melbourne,Western Bulldogs,5,9,39,25,17,167
2021,21,Round 3,2021-04-02,Adelaide Oval,Adelaide,Gold Coast,14,11,95,12,13,85
2021,22,Round 3,2021-04-03,MCG,Richmond,Sydney,10,12,72,17,15,117
2021,23,Round 3,2021-04-03,Docklands Stadium,Essendon,St Kilda,22,11,143,9,14,68
2021,24,Round 3,2021-04-03,Perth Stadium,West Coast,Port Adelaide,16,12,108,11,5,71
2021,25,Round 3,2021-04-04,Docklands Stadium,Carlton,Fremantle,16,13,109,9,10,64
2021,26,Round 3,2021-04-04,Manuka Oval,Greater Western Sydney,Melbourne,11,2,68,15,12,102
2021,27,Round 3,2021-04-05,MCG,Geelong,Hawthorn,10,9,69,9,10,64
2021,28,Round 4,2021-04-08,SCG,Sydney,Essendon,11,17,83,12,8,80
2021,29,Round 4,2021-04-09,Adelaide Oval,Port Adelaide,Richmond,11,13,79,11,11,77
2021,30,Round 4,2021-04-10,Eureka Stadium,Western Bulldogs,Brisbane Lions,10,13,73,8,6,54
2021,31,Round 4,2021-04-10,Docklands Stadium,St Kilda,West Coast,15,12,102,13,4,82
2021,32,Round 4,2021-04-10,MCG,Collingwood,Greater Western Sydney,9,6,60,14,6,90
2021,33,Round 4,2021-04-10,Carrara Stadium,Gold Coast,Carlton,8,11,59,9,16,70
2021,34,Round 4,2021-04-11,Docklands Stadium,North Melbourne,Adelaide,10,8,68,16,13,109
2021,35,Round 4,2021-04-11,Perth Stadium,Fremantle,Hawthorn,13,18,96,12,9,81
2021,36,Round 4,2021-04-11,MCG,Melbourne,Geelong,12,13,85,9,6,60
2021,37,Round 5,2021-04-15,Docklands Stadium,St Kilda,Richmond,7,6,48,20,14,134
2021,38,Round 5,2021-04-16,Perth Stadium,West Coast,Collingwood,16,7,103,11,10,76
2021,39,Round 5,2021-04-17,Docklands Stadium,Western Bulldogs,Gold Coast,17,16,118,8,8,56
2021,40,Round 5,2021-04-17,SCG,Sydney,Greater Western Sydney,10,9,69,9,17,71
2021,41,Round 5,2021-04-17,MCG,Carlton,Port Adelaide,9,14,68,15,6,96
2021,42,Round 5,2021-04-17,Gabba,Brisbane Lions,Essendon,15,12,102,6,9,45
2021,43,Round 5,2021-04-18,Adelaide Oval,Adelaide,Fremantle,11,6,72,12,12,84
2021,44,Round 5,2021-04-18,MCG,Hawthorn,Melbourne,8,6,54,15,14,104
2021,45,Round 5,2021-04-18,Kardinia Park,Geelong,North Melbourne,10,17,77,7,5,47
2021,46,Round 6,2021-04-23,Manuka Oval,Greater Western Sydney,Western Bulldogs,9,11,65,15,14,104
2021,47,Round 6,2021-04-24,Carrara Stadium,Gold Coast,Sydney,15,10,100,9,6,60
2021,48,Round 6,2021-04-24,Kardinia Park,Geelong,West Coast,21,10,136,5,9,39
2021,49,Round 6,2021-04-24,Docklands Stadium,Carlton,Brisbane Lions,12,13,85,15,13,103
2021,50,Round 6,2021-04-24,Perth Stadium,Fremantle,North Melbourne,14,15,99,6,12,48
2021,51,Round 6,2021-04-24,MCG,Melbourne,Richmond,12,10,82,6,12,48
2021,52,Round 6,2021-04-25,York Park,Hawthorn,Adelaide,15,12,102,16,3,99
2021,53,Round 6,2021-04-25,MCG,Collingwood,Essendon,13,7,85,16,13,109
2021,54,Round 6,2021-04-25,Adelaide Oval,Port Adelaide,St Kilda,14,9,93,5,9,39
2021,55,Round 7,2021-04-30,MCG,Richmond,Western Bulldogs,11,11,77,7,13,55
2021,56,Round 7,2021-05-01,Adelaide Oval,Adelaide,Greater Western Sydney,4,15,39,15,16,106
2021,57,Round 7,2021-05-01,MCG,Collingwood,Gold Coast,7,13,55,12,7,79
2021,58,Round 7,2021-05-01,Docklands Stadium,St Kilda,Hawthorn,19,14,128,9,5,59
2021,59,Round 7,2021-05-01,SCG,Sydney,Geelong,14,6,90,12,16,88
2021,60,Round 7,2021-05-01,Gabba,Brisbane Lions,Port Adelaide,13,15,93,5,14,44
