season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2025,1,0,Round 0,Opening Round,0,2025-03-07,SCG,Sydney,Hawthorn,11,10,76,14,12,96
2025,2,0,Round 0,Opening Round,0,2025-03-09,Sydney Showground Stadium,GWS,Collingwood,15,14,104,6,16,52
2025,3,1,Round 1,Round 1,0,2025-03-13,MCG,Richmond,Carlton,13,4,82,9,15,69
2025,4,1,Round 1,Round 1,0,2025-03-14,MCG,Hawthorn,Essendon,17,9,111,12,13,85
2025,5,1,Round 1,Round 1,0,2025-03-15,Kardinia Park,Geelong,Fremantle,23,9,147,10,9,69
2025,6,1,Round 1,Round 1,0,2025-03-15,SCG,Sydney,Brisbane,12,10,82,12,14,86
2025,7,1,Round 1,Round 1,0,2025-03-15,MCG,Collingwood,Port Adelaide,21,10,136,6,9,45
2025,8,1,Round 1,Round 1,0,2025-03-15,Docklands Stadium,Western Bulldogs,North Melbourne,17,11,113,14,13,97
2025,9,1,Round 1,Round 1,0,2025-03-16,Adelaide Oval,Adelaide,St Kilda,21,9,135,10,12,72
2025,10,1,Round 1,Round 1,0,2025-03-16,MCG,Melbourne,GWS,11,8,74,11,11,77
2025,11,1,Round 1,Round 1,0,2025-03-16,Perth Stadium,West Coast,Gold Coast,7,7,49,20,16,136
2025,12,2,Round 2,Round 2,0,2025-03-20,MCG,Carlton,Hawthorn,8,12,60,12,8,80
2025,13,2,Round 2,Round 2,0,2025-03-21,MCG,Western Bulldogs,Collingwood,10,10,70,10,16,76
2025,14,2,Round 2,Round 2,0,2025-03-22,MCG,Essendon,Adelaide,15,10,100,25,11,161
2025,15,2,Round 2,Round 2,0,2025-03-22,Adelaide Oval,Port Adelaide,Richmond,21,14,140,9,14,68
2025,16,2,Round 2,Round 2,0,2025-03-22,Docklands Stadium,St Kilda,Geelong,15,8,98,13,13,91
2025,17,2,Round 2,Round 2,0,2025-03-23,Gabba,Brisbane,West Coast,14,10,94,11,9,75
2025,18,2,Round 2,Round 2,0,2025-03-23,Docklands Stadium,North Melbourne,Melbourne,19,11,125,9,12,66
2025,19,2,Round 2,Round 2,0,2025-03-23,Perth Stadium,Fremantle,Sydney,9,11,65,9,14,68
2025,20,3,Round 3,Round 3,0,2025-03-27,Docklands Stadium,Essendon,Port Adelaide,9,18,72,8,12,60
2025,21,3,Round 3,Round 3,0,2025-03-28,Docklands Stadium,Carlton,Western Bulldogs,11,9,75,12,11,83
2025,22,3,Round 3,Round 3,0,2025-03-29,MCG,Melbourne,Gold Coast,8,14,62,18,12,120
2025,23,3,Round 3,Round 3,0,2025-03-29,Docklands Stadium,St Kilda,Richmond,20,15,135,7,11,53
2025,24,3,Round 3,Round 3,0,2025-03-29,Gabba,Brisbane,Geelong,10,10,70,9,7,61
2025,25,3,Round 3,Round 3,0,2025-03-29,York Park,Hawthorn,GWS,10,16,76,9,10,64
2025,26,3,Round 3,Round 3,0,2025-03-30,Adelaide Oval,Adelaide,North Melbourne,17,12,114,12,6,78
2025,27,3,Round 3,Round 3,0,2025-03-30,Perth Stadium,West Coast,Fremantle,10,8,68,15,16,106
2025,28,4,Round 4,Round 4,0,2025-04-03,MCG,Collingwood,Carlton,8,15,63,6,10,46
2025,29,4,Round 4,Round 4,0,2025-04-04,Kardinia Park,Geelong,Melbourne,12,13,85,6,10,46
2025,30,4,Round 4,Round 4,0,2025-04-05,Carrara Stadium,Gold Coast,Adelaide,13,13,91,14,6,90
2025,31,4,Round 4,Round 4,0,2025-04-05,MCG,Richmond,Brisbane,13,12,90,18,10,118
2025,32,4,Round 4,Round 4,0,2025-04-05,Docklands Stadium,North Melbourne,Sydney,8,4,52,18,9,117
2025,33,4,Round 4,Round 4,0,2025-04-06,Sydney Showground Stadium,GWS,West Coast,20,12,132,7,9,51
2025,34,4,Round 4,Round 4,0,2025-04-06,Adelaide Oval,Port Adelaide,St Kilda,10,12,72,13,11,89
2025,35,4,Round 4,Round 4,0,2025-04-06,Perth Stadium,Fremantle,Western Bulldogs,15,7,97,12,9,81
2025,36,5,Round 5,Round 5,0,2025-04-10,Adelaide Oval,Adelaide,Geelong,15,10,100,18,11,119
2025,37,5,Round 5,Round 5,0,2025-04-11,Adelaide Oval,Collingwood,Sydney,16,13,109,12,6,78
2025,38,5,Round 5,Round 5,0,2025-04-12,Barossa Park,North Melbourne,Gold Coast,13,11,89,21,15,141
2025,39,5,Round 5,Round 5,0,2025-04-12,Adelaide Oval,Carlton,West Coast,17,19,121,6,14,50
2025,40,5,Round 5,Round 5,0,2025-04-12,Norwood Oval,Western Bulldogs,Brisbane,14,13,97,18,10,118
2025,41,5,Round 5,Round 5,0,2025-04-12,Adelaide Oval,Melbourne,Essendon,8,9,57,15,6,96
2025,42,5,Round 5,Round 5,0,2025-04-13,Barossa Park,Richmond,Fremantle,7,5,47,16,12,108
2025,43,5,Round 5,Round 5,0,2025-04-13,Norwood Oval,St Kilda,GWS,12,10,82,16,14,110
2025,44,5,Round 5,Round 5,0,2025-04-13,Adelaide Oval,Port Adelaide,Hawthorn,18,13,121,14,7,91
2025,45,6,Round 6,Round 6,0,2025-04-17,Gabba,Brisbane,Collingwood,7,11,53,16,9,105
2025,46,6,Round 6,Round 6,0,2025-04-18,Docklands Stadium,North Melbourne,Carlton,11,5,71,24,9,153
2025,47,6,Round 6,Round 6,0,2025-04-18,Perth Stadium,West Coast,Essendon,11,9,75,11,11,77
2025,48,6,Round 6,Round 6,0,2025-04-19,MCG,Melbourne,Fremantle,16,11,107,14,13,97
2025,49,6,Round 6,Round 6,0,2025-04-19,Adelaide Oval,Adelaide,GWS,7,10,52,4,10,34
2025,50,6,Round 6,Round 6,0,2025-04-19,Docklands Stadium,Richmond,Gold Coast,12,8,80,9,15,69
2025,51,6,Round 6,Round 6,0,2025-04-20,SCG,Sydney,Port Adelaide,10,17,77,13,7,85
2025,52,6,Round 6,Round 6,0,2025-04-20,Docklands Stadium,Western Bulldogs,St Kilda,18,19,127,8,8,56
2025,53,6,Round 6,Round 6,0,2025-04-21,MCG,Geelong,Hawthorn,12,14,86,11,13,79
2025,54,7,Round 7,Round 7,0,2025-04-24,MCG,Melbourne,Richmond,12,11,83,9,9,63
2025,55,7,Round 7,Round 7,0,2025-04-25,MCG,Collingwood,Essendon,16,11,107,10,6,66
2025,56,7,Round 7,Round 7,0,2025-04-25,Perth Stadium,Fremantle,Adelaide,12,13,85,9,13,67
2025,57,7,Round 7,Round 7,0,2025-04-26,Docklands Stadium,St Kilda,Brisbane,11,7,73,17,16,118
2025,58,7,Round 7,Round 7,0,2025-04-26,Adelaide Oval,Port Adelaide,North Melbourne,14,13,97,13,10,88
2025,59,7,Round 7,Round 7,0,2025-04-26,Manuka Oval,GWS,Western Bulldogs,12,9,81,17,11,113
2025,60,7,Round 7,Round 7,0,2025-04-27,Carrara Stadium,Gold Coast,Sydney,17,15,117,12,7,79
2025,61,7,Round 7,Round 7,0,2025-04-27,MCG,Carlton,Geelong,14,10,94,12,4,76
2025,62,7,Round 7,Round 7,0,2025-04-27,Docklands Stadium,Hawthorn,West Coast,18,16,124,11,8,74
2025,63,8,Round 8,Round 8,0,2025-05-01,Docklands Stadium,Essendon,North Melbourne,9,11,65,9,8,62
2025,64,8,Round 8,Round 8,0,2025-05-02,Docklands Stadium,St Kilda,Fremantle,14,10,94,5,3,33
