year,venue,location,team
2022,MCG,VIC,Melbourne
2022,MCG,VIC,Carlton
2022,MCG,VIC,Geelong
2022,MCG,VIC,Hawthorn
2022,MCG,VIC,Collingwood
2022,MCG,VIC,Richmond
2022,MCG,VIC,Essendon
2022,Docklands Stadium,VIC,St Kilda
2022,Docklands Stadium,VIC,Western Bulldogs
2022,Docklands Stadium,VIC,Essendon
2022,Docklands Stadium,VIC,North Melbourne
2022,Docklands Stadium,VIC,Collingwood
2022,Docklands Stadium,VIC,Carlton
2022,Docklands Stadium,VIC,Hawthorn
2022,Docklands Stadium,VIC,Richmond
2022,Stadium Australia,NSW,Greater Western Sydney
2022,Gabba,QLD,Brisbane Lions
2022,Adelaide Oval,SA,Adelaide
2022,Adelaide Oval,SA,Port Adelaide
2022,Perth Stadium,WA,West Coast
2022,Perth Stadium,WA,Fremantle
2022,SCG,NSW,Sydney
2022,Carrara Stadium,QLD,Gold Coast
2022,Sydney Showground Stadium,NSW,Greater Western Sydney
2022,Kardinia Park,GEE,Geelong
2022,Manuka Oval,ACT,Greater Western Sydney
2022,Eureka Stadium,VIC,Western Bulldogs
2022,Bellerive Oval,TAS,North Melbourne
2022,York Park,TAS,Hawthorn
2022,Cazaly's Stadium,QLD,St Kilda
2022,Marrara Oval,NT,Gold Coast
2022,Traeger Park,NT,Melbourne
