venue,location,team
SCG,NSW,Sydney
Carrara Stadium,QLD,Gold Coast
Sydney Showground Stadium,NSW,GWS
Gabba,QLD,Brisbane
MCG,VIC,St Kilda
MCG,VIC,Carlton
MCG,VIC,Essendon
MCG,VIC,Collingwood
MCG,VIC,Melbourne
MCG,VIC,Hawthorn
MCG,VIC,Richmond
MCG,VIC,Geelong
Docklands Stadium,VIC,Western Bulldogs
Docklands Stadium,VIC,North Melbourne
Docklands Stadium,VIC,Collingwood
Docklands Stadium,VIC,St Kilda
Docklands Stadium,VIC,Essendon
Docklands Stadium,VIC,Hawthorn
Docklands Stadium,VIC,Carlton
Docklands Stadium,VIC,Melbourne
Kardinia Park,GEE,Geelong
Adelaide Oval,SA,Adelaide
Adelaide Oval,SA,Port Adelaide
Adelaide Oval,SA,Collingwood
Adelaide Oval,SA,Essendon
Adelaide Oval,SA,Hawthorn
Perth Stadium,WA,Fremantle
Perth Stadium,WA,West Coast
Perth Stadium,WA,North Melbourne
Barossa Park,SA,North Melbourne
Barossa Park,SA,GWS
Norwood Oval,SA,Sydney
Norwood Oval,SA,Geelong
York Park,TAS,Hawthorn
Manuka Oval,ACT,GWS
Marrara Oval,NT,Gold Coast
Traeger Park,NT,Melbourne
Hands Oval,WA,North Melbourne
Bellerive Oval,TAS,Richmond
