venue,location,season,team,total_flag,current_flag
Princes Park,VIC,1990,Carlton,1,0
Princes Park,VIC,1990,Fitzroy,1,0
Princes Park,VIC,1990,Hawthorn,1,0
Princes Park,VIC,1991,Fitzroy,1,1
Princes Park,VIC,1991,Hawthorn,1,1
Princes Park,VIC,1991,Carlton,1,1
Princes Park,VIC,1992,Carlton,1,1
Princes Park,VIC,1992,Melbourne,0,0
Princes Park,VIC,1992,Fitzroy,1,1
Princes Park,VIC,1992,North Melbourne,1,0
Princes Park,VIC,1993,Carlton,1,1
Princes Park,VIC,1993,Melbourne,0,1
Princes Park,VIC,1993,Fitzroy,1,1
Princes Park,VIC,1993,North Melbourne,1,1
Princes Park,VIC,1993,Essendon,0,0
Princes Park,VIC,1993,Richmond,0,0
Princes Park,VIC,1994,Fitzroy,1,1
Princes Park,VIC,1994,Carlton,1,1
Princes Park,VIC,1994,Richmond,0,1
Princes Park,VIC,1994,Essendon,0,1
Princes Park,VIC,1994,North Melbourne,1,1
Princes Park,VIC,1994,Melbourne,0,1
Princes Park,VIC,1995,Carlton,1,1
Princes Park,VIC,1995,Melbourne,0,1
Princes Park,VIC,1995,Essendon,0,1
Princes Park,VIC,1995,Richmond,0,1
Princes Park,VIC,1995,Fitzroy,1,1
Princes Park,VIC,1995,North Melbourne,1,1
Princes Park,VIC,1996,Melbourne,0,1
Princes Park,VIC,1996,Carlton,1,1
Princes Park,VIC,1996,North Melbourne,1,1
Princes Park,VIC,1996,Fitzroy,1,1
Princes Park,VIC,1996,Richmond,0,1
Princes Park,VIC,1996,Essendon,0,1
Princes Park,VIC,1996,Western Bulldogs,1,0
Princes Park,VIC,1997,Western Bulldogs,1,1
Princes Park,VIC,1997,Carlton,1,1
Princes Park,VIC,1997,Richmond,0,1
Princes Park,VIC,1997,North Melbourne,1,1
Princes Park,VIC,1997,Essendon,0,1
Princes Park,VIC,1998,Carlton,1,1
Princes Park,VIC,1998,Western Bulldogs,1,1
Princes Park,VIC,1999,Western Bulldogs,1,1
Princes Park,VIC,1999,Carlton,1,1
Princes Park,VIC,2000,Carlton,1,1
Princes Park,VIC,2001,Carlton,1,1
Princes Park,VIC,2002,Carlton,1,1
Princes Park,VIC,2002,Melbourne,0,0
Princes Park,VIC,2002,Western Bulldogs,1,0
Princes Park,VIC,2002,North Melbourne,1,0
Princes Park,VIC,2002,St Kilda,0,0
Princes Park,VIC,2003,Carlton,1,1
Princes Park,VIC,2004,Carlton,1,1
Princes Park,VIC,2005,Carlton,1,1
Windy Hill,VIC,1990,Essendon,1,0
Windy Hill,VIC,1991,Essendon,1,1
Waverley Park,VIC,1990,Geelong,0,0
Waverley Park,VIC,1990,Carlton,0,0
Waverley Park,VIC,1990,St Kilda,1,0
Waverley Park,VIC,1990,Fitzroy,0,0
Waverley Park,VIC,1990,Essendon,0,0
Waverley Park,VIC,1990,Western Bulldogs,0,0
Waverley Park,VIC,1990,Collingwood,1,0
Waverley Park,VIC,1990,Hawthorn,1,0
Waverley Park,VIC,1990,Melbourne,0,0
Waverley Park,VIC,1990,Richmond,0,0
Waverley Park,VIC,1990,North Melbourne,0,0
Waverley Park,VIC,1991,St Kilda,1,1
Waverley Park,VIC,1991,Western Bulldogs,0,1
Waverley Park,VIC,1991,Collingwood,1,1
Waverley Park,VIC,1991,Hawthorn,1,1
Waverley Park,VIC,1991,Melbourne,0,1
Waverley Park,VIC,1991,Geelong,0,1
Waverley Park,VIC,1991,Essendon,0,1
Waverley Park,VIC,1991,Richmond,0,1
Waverley Park,VIC,1991,Carlton,0,1
Waverley Park,VIC,1991,North Melbourne,0,1
Waverley Park,VIC,1992,Hawthorn,1,1
Waverley Park,VIC,1992,St Kilda,1,1
Waverley Park,VIC,1992,Richmond,0,1
Waverley Park,VIC,1992,Essendon,0,1
Waverley Park,VIC,1992,Collingwood,1,1
