year,venue,location,team
2024,SCG,NSW,Sydney
2024,Gabba,QLD,Brisbane
2024,Carrara Stadium,QLD,Gold Coast
2024,Sydney Showground Stadium,NSW,GWS
2024,MCG,VIC,Carlton
2024,MCG,VIC,Collingwood
2024,MCG,VIC,Essendon
2024,MCG,VIC,Melbourne
2024,MCG,VIC,St Kilda
2024,MCG,VIC,Hawthorn
2024,MCG,VIC,Richmond
2024,MCG,VIC,Geelong
2024,Kardinia Park,GEE,Geelong
2024,Adelaide Oval,SA,Port Adelaide
2024,Adelaide Oval,SA,Adelaide
2024,Adelaide Oval,SA,Fremantle
2024,Adelaide Oval,SA,Western Bulldogs
2024,Adelaide Oval,SA,Collingwood
2024,Perth Stadium,WA,Fremantle
2024,Perth Stadium,WA,West Coast
2024,Docklands Stadium,VIC,North Melbourne
2024,Docklands Stadium,VIC,Essendon
2024,Docklands Stadium,VIC,Western Bulldogs
2024,Docklands Stadium,VIC,Carlton
2024,Docklands Stadium,VIC,St Kilda
2024,Docklands Stadium,VIC,Collingwood
2024,Docklands Stadium,VIC,Hawthorn
2024,Docklands Stadium,VIC,Richmond
2024,Eureka Stadium,VIC,Western Bulldogs
2024,Norwood Oval,SA,Brisbane
2024,Norwood Oval,SA,Richmond
2024,Adelaide Hills,SA,West Coast
2024,Adelaide Hills,SA,Gold Coast
2024,Manuka Oval,ACT,GWS
2024,Bellerive Oval,TAS,North Melbourne
2024,York Park,TAS,Hawthorn
2024,Marrara Oval,NT,Gold Coast
2024,Traeger Park,NT,Melbourne
