venue,location,team
SCG,NSW,Sydney
Sydney Showground Stadium,NSW,GWS
MCG,VIC,Richmond
MCG,VIC,Hawthorn
MCG,VIC,Collingwood
MCG,VIC,Melbourne
MCG,VIC,Carlton
MCG,VIC,Western Bulldogs
MCG,VIC,Essendon
MCG,VIC,Geelong
MCG,VIC,St Kilda
Kardinia Park,GEE,Geelong
Docklands Stadium,VIC,Western Bulldogs
Docklands Stadium,VIC,St Kilda
Docklands Stadium,VIC,North Melbourne
Docklands Stadium,VIC,Essendon
Docklands Stadium,VIC,Carlton
Docklands Stadium,VIC,Richmond
Docklands Stadium,VIC,Hawthorn
Docklands Stadium,VIC,Collingwood
Docklands Stadium,VIC,Melbourne
Adelaide Oval,SA,Adelaide
Adelaide Oval,SA,Port Adelaide
Adelaide Oval,SA,Collingwood
Adelaide Oval,SA,Carlton
Adelaide Oval,SA,Melbourne
Perth Stadium,WA,West Coast
Perth Stadium,WA,Fremantle
Perth Stadium,WA,North Melbourne
Gabba,QLD,Brisbane
York Park,TAS,Hawthorn
Carrara Stadium,QLD,Gold Coast
Barossa Park,SA,North Melbourne
Barossa Park,SA,Richmond
Norwood Oval,SA,Western Bulldogs
Norwood Oval,SA,St Kilda
Manuka Oval,ACT,GWS
Eureka Stadium,VIC,Western Bulldogs
Marrara Oval,NT,Gold Coast
Bellerive Oval,TAS,North Melbourne
Traeger Park,NT,Melbourne
Hands Oval,WA,North Melbourne
