"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2013",1,"Round 1",2014-03-22,"Football Park","Adelaide","Essendon",82,117
"2013",2,"Round 1",2014-03-23,"Subiaco Oval","Fremantle","West Coast",108,80
"2013",3,"Round 1",2014-03-28,"MCG","Carlton","Richmond",101,106
"2013",4,"Round 1",2014-03-30,"Docklands Stadium","Western Bulldogs","Brisbane Lions",127,59
"2013",5,"Round 1",2014-03-30,"Stadium Australia","Greater Western Sydney","Sydney",76,106
"2013",6,"Round 1",2014-03-30,"Carrara Stadium","Gold Coast","St Kilda",90,77
"2013",7,"Round 1",2014-03-31,"MCG","Melbourne","Port Adelaide",54,133
"2013",8,"Round 1",2014-03-31,"Docklands Stadium","North Melbourne","Collingwood",87,103
"2013",9,"Round 1",2014-04-01,"MCG","Hawthorn","Geelong",86,93
"2013",10,"Round 2",2014-04-05,"MCG","St Kilda","Richmond",82,99
"2013",11,"Round 2",2014-04-06,"SCG","Sydney","Gold Coast",114,73
"2013",12,"Round 2",2014-04-06,"Docklands Stadium","Western Bulldogs","Fremantle",78,106
"2013",13,"Round 2",2014-04-06,"Gabba","Brisbane Lions","Adelaide",77,96
"2013",14,"Round 2",2014-04-06,"Football Park","Port Adelaide","Greater Western Sydney",134,78
"2013",15,"Round 2",2014-04-06,"MCG","Essendon","Melbourne",184,36
"2013",16,"Round 2",2014-04-07,"Docklands Stadium","Geelong","North Melbourne",112,108
"2013",17,"Round 2",2014-04-07,"MCG","Collingwood","Carlton",117,100
"2013",18,"Round 2",2014-04-07,"Subiaco Oval","West Coast","Hawthorn",98,148
"2013",19,"Round 3",2014-04-12,"Subiaco Oval","Fremantle","Essendon",68,72
"2013",20,"Round 3",2014-04-13,"Bellerive Oval","North Melbourne","Sydney",92,131
"2013",21,"Round 3",2014-04-13,"MCG","Melbourne","West Coast",83,177
"2013",22,"Round 3",2014-04-13,"Manuka Oval","Greater Western Sydney","St Kilda",68,140
"2013",23,"Round 3",2014-04-13,"Docklands Stadium","Geelong","Carlton",119,103
"2013",24,"Round 3",2014-04-13,"Carrara Stadium","Gold Coast","Brisbane Lions",92,94
"2013",25,"Round 3",2014-04-14,"Docklands Stadium","Richmond","Western Bulldogs",135,68
"2013",26,"Round 3",2014-04-14,"MCG","Collingwood","Hawthorn",90,145
"2013",27,"Round 3",2014-04-14,"Football Park","Port Adelaide","Adelaide",118,109
"2013",28,"Round 4",2014-04-19,"SCG","Sydney","Geelong",103,124
"2013",29,"Round 4",2014-04-20,"York Park","Hawthorn","Fremantle",118,76
"2013",30,"Round 4",2014-04-20,"MCG","Richmond","Collingwood",79,113
"2013",31,"Round 4",2014-04-20,"Docklands Stadium","St Kilda","Essendon",91,128
"2013",32,"Round 4",2014-04-20,"Subiaco Oval","West Coast","Carlton",65,89
"2013",33,"Round 4",2014-04-20,"Carrara Stadium","Gold Coast","Port Adelaide",66,104
"2013",34,"Round 4",2014-04-21,"MCG","Melbourne","Greater Western Sydney",144,103
"2013",35,"Round 4",2014-04-21,"Football Park","Adelaide","Western Bulldogs",80,28
"2013",36,"Round 4",2014-04-21,"Docklands Stadium","North Melbourne","Brisbane Lions",125,62
"2013",37,"Round 5",2014-04-25,"MCG","Essendon","Collingwood",121,75
"2013",38,"Round 5",2014-04-25,"Wellington Regional Stadium","St Kilda","Sydney",63,79
"2013",39,"Round 5",2014-04-26,"Subiaco Oval","Fremantle","Richmond",81,80
"2013",40,"Round 5",2014-04-27,"Manuka Oval","Greater Western Sydney","Gold Coast",104,148
"2013",41,"Round 5",2014-04-27,"MCG","Carlton","Adelaide",115,83
"2013",42,"Round 5",2014-04-27,"Football Park","Port Adelaide","West Coast",84,79
"2013",43,"Round 5",2014-04-27,"Docklands Stadium","Western Bulldogs","Geelong",86,107
"2013",44,"Round 5",2014-04-28,"Gabba","Brisbane Lions","Melbourne",122,94
"2013",45,"Round 5",2014-04-28,"MCG","Hawthorn","North Melbourne",99,96
"2013",46,"Round 6",2014-05-03,"Docklands Stadium","Collingwood","St Kilda",103,77
"2013",47,"Round 6",2014-05-04,"Docklands Stadium","Essendon","Greater Western Sydney",120,81
"2013",48,"Round 6",2014-05-04,"Bellerive Oval","North Melbourne","Port Adelaide",93,83
"2013",49,"Round 6",2014-05-04,"Football Park","Adelaide","Hawthorn",78,89
"2013",50,"Round 6",2014-05-04,"Carrara Stadium","Gold Coast","Fremantle",54,99
"2013",51,"Round 6",2014-05-04,"MCG","Richmond","Geelong",87,131
"2013",52,"Round 6",2014-05-05,"SCG","Sydney","Brisbane Lions",115,55
"2013",53,"Round 6",2014-05-05,"MCG","Carlton","Melbourne",121,60
"2013",54,"Round 6",2014-05-05,"Subiaco Oval","West Coast","Western Bulldogs",137,67
"2013",55,"Round 7",2014-05-10,"Docklands Stadium","Geelong","Essendon",113,85
"2013",56,"Round 7",2014-05-11,"Football Park","Port Adelaide","Richmond",73,114
"2013",57,"Round 7",2014-05-11,"Gabba","Brisbane Lions","West Coast",82,108
"2013",58,"Round 7",2014-05-11,"Docklands Stadium","Western Bulldogs","North Melbourne",97,151
"2013",59,"Round 7",2014-05-11,"Subiaco Oval","Fremantle","Collingwood",100,73
"2013",60,"Round 7",2014-05-11,"MCG","Hawthorn","Sydney",119,82
"2013",61,"Round 7",2014-05-12,"Sydney Showground Stadium","Greater Western Sydney","Adelaide",52,187
"2013",62,"Round 7",2014-05-12,"MCG","Melbourne","Gold Coast",54,114
"2013",63,"Round 7",2014-05-13,"Docklands Stadium","St Kilda","Carlton",77,68
"2013",64,"Round 8",2014-05-17,"Subiaco Oval","West Coast","North Melbourne",90,88
"2013",65,"Round 8",2014-05-18,"Docklands Stadium","Essendon","Brisbane Lions",86,96
"2013",66,"Round 8",2014-05-18,"York Park","Hawthorn","Greater Western Sydney",140,57
"2013",67,"Round 8",2014-05-18,"Carrara Stadium","Gold Coast","Western Bulldogs",93,61
"2013",68,"Round 8",2014-05-18,"SCG","Sydney","Fremantle",70,70
"2013",69,"Round 8",2014-05-18,"MCG","Collingwood","Geelong",102,96
"2013",70,"Round 8",2014-05-19,"Docklands Stadium","Carlton","Port Adelaide",109,91
"2013",71,"Round 8",2014-05-19,"MCG","Richmond","Melbourne",106,72
"2013",72,"Round 8",2014-05-19,"Football Park","Adelaide","St Kilda",87,47
"2013",73,"Round 9",2014-05-24,"MCG","Collingwood","Sydney",55,102
"2013",74,"Round 9",2014-05-25,"Football Park","Port Adelaide","Geelong",68,116
"2013",75,"Round 9",2014-05-25,"Sydney Showground Stadium","Greater Western Sydney","West Coast",55,155
"2013",76,"Round 9",2014-05-25,"Docklands Stadium","St Kilda","Western Bulldogs",101,110
"2013",77,"Round 9",2014-05-25,"Gabba","Brisbane Lions","Carlton",85,98
"2013",78,"Round 9",2014-05-25,"MCG","Richmond","Essendon",62,91
"2013",79,"Round 9",2014-05-26,"MCG","Hawthorn","Gold Coast",118,92
"2013",80,"Round 9",2014-05-26,"Docklands Stadium","North Melbourne","Adelaide",124,125
"2013",81,"Round 9",2014-05-26,"Subiaco Oval","Fremantle","Melbourne",130,40
"2013",82,"Round 10",2014-05-31,"Gabba","Brisbane Lions","Collingwood",51,100
"2013",83,"Round 10",2014-06-01,"Docklands Stadium","Carlton","Greater Western Sydney",148,54
"2013",84,"Round 10",2014-06-01,"Football Park","Adelaide","Fremantle",59,66
"2013",85,"Round 10",2014-06-01,"SCG","Sydney","Essendon",115,71
"2013",86,"Round 10",2014-06-01,"Kardinia Park","Geelong","Gold Coast",123,71
"2013",87,"Round 10",2014-06-01,"Marrara Oval","Western Bulldogs","Port Adelaide",67,58
"2013",88,"Round 10",2014-06-02,"MCG","Melbourne","Hawthorn",48,143
"2013",89,"Round 10",2014-06-02,"Docklands Stadium","North Melbourne","St Kilda",133,65
"2013",90,"Round 10",2014-06-03,"Subiaco Oval","West Coast","Richmond",62,103
"2013",91,"Round 11",2014-06-07,"MCG","Essendon","Carlton",77,72
"2013",92,"Round 11",2014-06-08,"Sydney Showground Stadium","Greater Western Sydney","Geelong",98,157
"2013",93,"Round 11",2014-06-08,"Football Park","Adelaide","Sydney",50,127
"2013",94,"Round 11",2014-06-08,"Carrara Stadium","Gold Coast","North Melbourne",66,51
"2013",95,"Round 11",2014-06-09,"Docklands Stadium","St Kilda","West Coast",80,84
"2013",96,"Round 11",2014-06-10,"MCG","Melbourne","Collingwood",39,122
"2013",97,"Round 12",2014-06-14,"Docklands Stadium","Carlton","Hawthorn",87,102
"2013",98,"Round 12",2014-06-15,"MCG","Richmond","Adelaide",110,72
"2013",99,"Round 12",2014-06-15,"Subiaco Oval","Fremantle","Brisbane Lions",86,46
"2013",100,"Round 12",2014-06-15,"Docklands Stadium","Essendon","Gold Coast",115,72
"2013",101,"Round 12",2014-06-16,"Sydney Showground Stadium","Greater Western Sydney","Port Adelaide",50,125
"2013",102,"Round 12",2014-06-16,"Docklands Stadium","Collingwood","Western Bulldogs",99,65
"2013",103,"Round 13",2014-06-21,"Docklands Stadium","Hawthorn","West Coast",123,103
"2013",104,"Round 13",2014-06-22,"Football Park","Port Adelaide","Sydney",72,54
"2013",105,"Round 13",2014-06-22,"MCG","St Kilda","Melbourne",104,69
"2013",106,"Round 13",2014-06-22,"Docklands Stadium","Western Bulldogs","Richmond",61,121
"2013",107,"Round 13",2014-06-23,"Subiaco Oval","Fremantle","North Melbourne",67,29
"2013",108,"Round 13",2014-06-23,"Gabba","Brisbane Lions","Geelong",103,98
"2013",109,"Round 14",2014-06-27,"Subiaco Oval","West Coast","Essendon",91,98
"2013",110,"Round 14",2014-06-28,"SCG","Sydney","Carlton",65,43
"2013",111,"Round 14",2014-06-29,"Carrara Stadium","Gold Coast","Adelaide",83,111
"2013",112,"Round 14",2014-06-29,"Football Park","Port Adelaide","Collingwood",86,51
"2013",113,"Round 14",2014-06-29,"MCG","Melbourne","Western Bulldogs",103,100
"2013",114,"Round 14",2014-06-29,"Kardinia Park","Geelong","Fremantle",85,44
"2013",115,"Round 14",2014-06-30,"York Park","Hawthorn","Brisbane Lions",143,85
"2013",116,"Round 14",2014-06-30,"Docklands Stadium","North Melbourne","Greater Western Sydney",130,44
