season,match_id,round,date,venue,home_team,away_team,home_score,away_score,home_goals,away_goals,home_behinds,away_behinds
2016,1,Round 1,2016-03-24,MCG,Richmond,Carlton,92,83,14,12,8,11
2016,2,Round 1,2016-03-26,MCG,Melbourne,Greater Western Sydney,80,78,12,10,8,18
2016,3,Round 1,2016-03-26,Carrara Stadium,Gold Coast,Essendon,121,60,17,9,19,6
2016,4,Round 1,2016-03-26,SCG,Sydney,Collingwood,133,53,18,7,25,11
2016,5,Round 1,2016-03-26,Docklands Stadium,North Melbourne,Adelaide,107,97,16,14,11,13
2016,6,Round 1,2016-03-27,Docklands Stadium,Western Bulldogs,Fremantle,103,38,15,5,13,8
2016,7,Round 1,2016-03-27,Adelaide Oval,Port Adelaide,St Kilda,133,100,20,15,13,10
2016,8,Round 1,2016-03-27,Subiaco Oval,West Coast,Brisbane Lions,166,102,26,15,10,12
2016,9,Round 1,2016-03-28,MCG,Geelong,Hawthorn,116,86,18,12,8,14
2016,10,Round 2,2016-04-01,MCG,Collingwood,Richmond,87,86,13,12,9,14
2016,11,Round 2,2016-04-02,Adelaide Oval,Adelaide,Port Adelaide,144,86,22,11,12,20
2016,12,Round 2,2016-04-02,MCG,Essendon,Melbourne,80,67,11,10,14,7
2016,13,Round 2,2016-04-02,Gabba,Brisbane Lions,North Melbourne,83,117,11,17,17,15
2016,14,Round 2,2016-04-02,Docklands Stadium,St Kilda,Western Bulldogs,36,93,5,13,6,15
2016,15,Round 2,2016-04-02,Subiaco Oval,Fremantle,Gold Coast,100,126,14,19,16,12
2016,16,Round 2,2016-04-03,Manuka Oval,Greater Western Sydney,Geelong,89,76,13,11,11,10
2016,17,Round 2,2016-04-03,MCG,Hawthorn,West Coast,99,53,14,7,15,11
2016,18,Round 2,2016-04-03,Docklands Stadium,Carlton,Sydney,71,131,10,20,11,11
2016,19,Round 3,2016-04-08,Adelaide Oval,Port Adelaide,Essendon,112,51,17,7,10,9
2016,20,Round 3,2016-04-09,MCG,St Kilda,Collingwood,119,90,18,14,11,6
2016,21,Round 3,2016-04-09,Docklands Stadium,Richmond,Adelaide,92,128,13,19,14,14
2016,22,Round 3,2016-04-09,SCG,Sydney,Greater Western Sydney,93,68,14,10,9,8
2016,23,Round 3,2016-04-09,Carrara Stadium,Gold Coast,Carlton,95,41,13,5,17,11
2016,24,Round 3,2016-04-09,Subiaco Oval,West Coast,Fremantle,92,59,12,8,20,11
2016,25,Round 3,2016-04-10,Bellerive Oval,North Melbourne,Melbourne,136,131,21,20,10,11
2016,26,Round 3,2016-04-10,Docklands Stadium,Western Bulldogs,Hawthorn,90,93,13,14,12,9
2016,27,Round 3,2016-04-10,Kardinia Park,Geelong,Brisbane Lions,125,56,18,7,17,14
2016,28,Round 4,2016-04-15,Subiaco Oval,West Coast,Richmond,125,57,18,9,17,3
2016,29,Round 4,2016-04-16,MCG,Essendon,Geelong,42,72,6,9,6,18
2016,30,Round 4,2016-04-16,York Park,Hawthorn,St Kilda,87,84,13,13,9,6
2016,31,Round 4,2016-04-16,Gabba,Brisbane Lions,Gold Coast,107,94,14,14,23,10
2016,32,Round 4,2016-04-16,Docklands Stadium,Carlton,Western Bulldogs,49,85,7,13,7,7
2016,33,Round 4,2016-04-16,Adelaide Oval,Adelaide,Sydney,113,103,16,15,17,13
2016,34,Round 4,2016-04-17,Manuka Oval,Greater Western Sydney,Port Adelaide,151,65,22,9,19,11
2016,35,Round 4,2016-04-17,MCG,Collingwood,Melbourne,67,102,9,16,13,6
2016,36,Round 4,2016-04-17,Docklands Stadium,North Melbourne,Fremantle,132,101,20,14,12,17
2016,37,Round 5,2016-04-22,MCG,Hawthorn,Adelaide,112,109,17,17,10,7
2016,38,Round 5,2016-04-23,SCG,Sydney,West Coast,88,49,12,7,16,7
2016,39,Round 5,2016-04-23,Carrara Stadium,Gold Coast,North Melbourne,81,119,11,18,15,11
2016,40,Round 5,2016-04-23,Docklands Stadium,Western Bulldogs,Brisbane Lions,120,67,17,10,18,7
2016,41,Round 5,2016-04-23,Adelaide Oval,Port Adelaide,Geelong,59,107,8,16,11,11
2016,42,Round 5,2016-04-24,Docklands Stadium,St Kilda,Greater Western Sydney,79,126,12,19,7,12
2016,43,Round 5,2016-04-24,Subiaco Oval,Fremantle,Carlton,68,72,9,10,14,12
2016,44,Round 5,2016-04-24,MCG,Melbourne,Richmond,129,96,20,14,9,12
2016,45,Round 5,2016-04-25,MCG,Collingwood,Essendon,142,73,22,11,10,7
2016,46,Round 6,2016-04-29,Docklands Stadium,North Melbourne,Western Bulldogs,61,45,9,6,7,9
2016,47,Round 6,2016-04-30,Docklands Stadium,Melbourne,St Kilda,96,135,15,20,6,15
2016,48,Round 6,2016-04-30,Adelaide Oval,Adelaide,Fremantle,97,64,14,8,13,16
